AlexNet-8-1-[(4, 5067, 0, 242, 10.01), (2, 5066, 0, 767, 5.13), (5, 7429, 31, 2705, 10.68), (4, 7940, 90, 2705, 172.95)]
AlexNet-8-2-[(3, 3714, 0, 242, 10.01), (2, 3746, 0, 917, 5.74), (9, 11899, 24, 2705, 11.17), (4, 12699, 98, 2705, 297.5)]
AlexNet-8-3-[(6, 4108, 0, 242, 10.01), (3, 7329, 2, 1775, 6.44), (13, 17571, 25, 2705, 11.74), (5, 17594, 98, 2705, 279.09)]
AlexNet-8-4-[(8, 4484, 0, 242, 10.01), (3, 4530, 0, 973, 6.76), (9, 21636, 0, 2705, 12.31), (6, 22464, 98, 2705, 232.63)]
AlexNet-16-1-[(2, 3388, 0, 242, 10.01), (2, 4340, 0, 1767, 5.08), (7, 7811, 24, 2709, 10.48), (4, 7836, 90, 2709, 91.3)]
AlexNet-16-2-[(2, 3708, 0, 242, 10.01), (2, 4517, 0, 1297, 5.88), (10, 12680, 25, 2709, 11.32), (4, 12710, 96, 2709, 151.69)]
AlexNet-16-3-[(6, 4116, 0, 242, 10.01), (2, 4109, 0, 753, 6.54), (12, 17573, 25, 2709, 12.01), (6, 17594, 96, 2709, 142.03)]
AlexNet-16-4-[(7, 4489, 0, 242, 10.01), (2, 4502, 0, 825, 6.86), (15, 22471, 24, 2709, 12.26), (7, 22483, 95, 2709, 118.26)]
AlexNet-32-1-[(4, 3392, 0, 242, 10.0), (2, 3405, 0, 993, 5.13), (7, 7383, 0, 2721, 10.77), (5, 7839, 87, 2721, 47.12)]
AlexNet-32-2-[(4, 3728, 0, 242, 10.01), (4, 4187, 0, 1277, 5.74), (7, 12694, 25, 2721, 10.98), (5, 12705, 93, 2721, 77.74)]
AlexNet-32-3-[(6, 4102, 0, 242, 10.01), (3, 6640, 2, 1459, 6.53), (12, 17584, 25, 2721, 11.7), (7, 17609, 93, 2721, 70.25)]
AlexNet-32-4-[(8, 4497, 0, 242, 10.01), (3, 4548, 0, 847, 7.34), (14, 20679, 0, 2721, 12.28), (8, 22502, 91, 2721, 60.06)]
AlexNet-64-1-[(4, 3394, 0, 242, 10.01), (2, 3387, 0, 821, 5.0), (7, 7847, 25, 2761, 10.56), (5, 7861, 89, 2761, 27.47)]
AlexNet-64-2-[(5, 3734, 0, 242, 10.01), (3, 4201, 0, 1261, 5.8), (10, 12748, 25, 2761, 11.29), (7, 12760, 89, 2761, 40.2)]
AlexNet-64-3-[(6, 4119, 0, 242, 10.0), (3, 4159, 0, 941, 6.56), (10, 16406, 18, 2761, 11.75), (7, 17632, 87, 2761, 36.57)]
AlexNet-64-4-[(7, 4503, 0, 242, 10.0), (3, 6965, 0, 1337, 7.61), (17, 22519, 25, 2761, 12.25), (10, 22538, 86, 2761, 31.88)]
AlexNet-128-1-[(2, 3398, 0, 242, 10.01), (2, 4134, 1, 1473, 4.98), (6, 7868, 25, 2757, 10.55), (7, 7876, 75, 2757, 18.9)]
AlexNet-128-2-[(4, 3733, 0, 242, 10.01), (2, 3728, 0, 469, 5.89), (10, 11752, 32, 2755, 11.17), (9, 12792, 80, 2755, 21.76)]
AlexNet-128-3-[(2, 4118, 0, 242, 10.01), (3, 5071, 0, 1195, 6.49), (15, 17709, 25, 2759, 11.9), (10, 17715, 75, 2759, 20.2)]
AlexNet-128-4-[(8, 4510, 0, 242, 10.01), (2, 4503, 0, 519, 7.46), (10, 22597, 20, 2757, 11.84), (10, 22600, 89, 2757, 18.76)]
ResNet18-8-1-[(2, 3404, 0, 242, 10.01), (2, 3939, 0, 1411, 4.96), (6, 7827, 31, 2705, 10.55), (3, 7854, 91, 2705, 173.57)]
ResNet18-8-2-[(4, 3719, 0, 242, 10.01), (2, 3715, 0, 729, 5.58), (5, 12676, 33, 2705, 11.06), (4, 12701, 97, 2705, 298.67)]
ResNet18-8-3-[(6, 4111, 0, 242, 10.01), (3, 6582, 2, 1445, 6.59), (12, 16398, 21, 2705, 11.74), (5, 17605, 98, 2705, 270.21)]
ResNet18-8-4-[(8, 4497, 0, 242, 10.01), (3, 6163, 0, 1203, 7.97), (11, 22448, 25, 2705, 12.14), (6, 22476, 98, 2705, 242.98)]
ResNet18-16-1-[(3, 3396, 2, 242, 10.01), (2, 3392, 0, 595, 4.91), (7, 7812, 30, 2709, 10.55), (4, 7845, 88, 2709, 92.9)]
ResNet18-16-2-[(4, 3721, 0, 242, 10.0), (3, 4357, 0, 1309, 5.69), (9, 12691, 25, 2709, 11.52), (5, 12721, 96, 2709, 151.16)]
ResNet18-16-3-[(5, 4106, 0, 242, 10.01), (2, 4100, 0, 523, 6.55), (11, 17590, 25, 2709, 12.05), (6, 17594, 96, 2709, 138.43)]
ResNet18-16-4-[(7, 4499, 0, 242, 10.01), (3, 7623, 1, 1345, 7.97), (11, 22478, 25, 2709, 12.04), (7, 22502, 95, 2709, 119.28)]
ResNet18-32-1-[(4, 3395, 0, 242, 10.01), (2, 3390, 0, 799, 5.09), (6, 7369, 0, 2721, 10.65), (5, 7851, 86, 2721, 47.61)]
ResNet18-32-2-[(5, 3737, 2, 242, 10.01), (2, 3733, 0, 549, 5.81), (7, 12715, 25, 2721, 11.13), (5, 12733, 93, 2721, 77.08)]
ResNet18-32-3-[(6, 4116, 0, 242, 10.01), (3, 6445, 0, 1537, 6.13), (10, 17610, 20, 2721, 11.63), (7, 17632, 92, 2721, 73.0)]
ResNet18-32-4-[(6, 4488, 0, 242, 10.01), (2, 4483, 0, 685, 7.25), (16, 20681, 21, 2721, 11.98), (8, 22518, 91, 2721, 60.87)]
ResNet18-64-1-[(3, 3386, 2, 242, 10.01), (2, 3381, 0, 619, 5.05), (7, 6977, 3, 2761, 10.51), (6, 7869, 83, 2761, 27.45)]
ResNet18-64-2-[(3, 3734, 0, 242, 10.01), (2, 4399, 1, 1333, 5.74), (10, 12742, 25, 2761, 11.33), (7, 12750, 90, 2761, 40.12)]
ResNet18-64-3-[(7, 4112, 0, 242, 10.0), (2, 4103, 0, 505, 6.45), (11, 17609, 25, 2761, 11.71), (8, 17637, 88, 2761, 36.57)]
ResNet18-64-4-[(2, 4498, 0, 242, 10.01), (3, 5665, 0, 1145, 7.99), (14, 22528, 20, 2761, 12.18), (9, 22539, 83, 2761, 31.84)]
ResNet18-128-1-[(3, 3399, 2, 242, 10.01), (2, 3393, 0, 565, 4.97), (7, 7889, 24, 2757, 10.51), (6, 7884, 72, 2757, 19.39)]
ResNet18-128-2-[(6, 3730, 0, 242, 10.01), (3, 4261, 0, 1221, 6.02), (6, 12788, 25, 2755, 11.32), (8, 12808, 80, 2755, 21.66)]
ResNet18-128-3-[(5, 4130, 0, 242, 10.01), (3, 6694, 1, 1767, 6.24), (14, 17698, 25, 2759, 11.94), (10, 17707, 80, 2759, 20.48)]
ResNet18-128-4-[(7, 4509, 0, 242, 10.01), (3, 7267, 0, 1301, 7.98), (15, 22608, 25, 2757, 12.28), (12, 22624, 75, 2757, 17.38)]
ResNet50-8-1-[(4, 3404, 0, 242, 10.01), (2, 3748, 0, 1337, 4.97), (5, 7814, 31, 2705, 10.93), (4, 7837, 92, 2705, 171.13)]
ResNet50-8-2-[(5, 3735, 0, 242, 10.01), (4, 4253, 0, 1267, 5.78), (7, 11929, 0, 2705, 10.97), (4, 12719, 97, 2705, 298.9)]
ResNet50-8-3-[(4, 4110, 0, 242, 10.01), (4, 4774, 0, 1089, 6.45), (14, 17558, 25, 2705, 11.97), (5, 17606, 98, 2705, 274.53)]
ResNet50-8-4-[(7, 4500, 0, 242, 10.0), (4, 9531, 1, 1517, 7.89), (13, 21511, 25, 2705, 11.89), (6, 22500, 97, 2705, 237.56)]
ResNet50-16-1-[(4, 3402, 0, 242, 10.01), (2, 3396, 0, 785, 4.85), (7, 7856, 32, 2709, 10.23), (4, 7860, 88, 2709, 91.12)]
ResNet50-16-2-[(2, 3737, 0, 242, 10.01), (2, 4510, 0, 1351, 5.53), (10, 12723, 25, 2709, 10.99), (5, 12737, 96, 2709, 151.31)]
ResNet50-16-3-[(5, 4119, 0, 242, 10.01), (3, 4918, 0, 1215, 6.37), (9, 16337, 0, 2709, 11.69), (6, 17615, 96, 2709, 143.78)]
ResNet50-16-4-[(8, 4500, 0, 242, 10.01), (3, 7591, 1, 1323, 7.77), (14, 22489, 25, 2709, 12.14), (7, 22494, 95, 2709, 119.69)]
ResNet50-32-1-[(4, 3401, 0, 242, 10.01), (2, 3428, 0, 1063, 4.87), (7, 7862, 32, 2721, 10.34), (5, 7875, 86, 2721, 47.57)]
ResNet50-32-2-[(4, 3738, 0, 242, 10.01), (2, 3732, 0, 615, 5.43), (9, 12719, 33, 2721, 11.08), (5, 12740, 89, 2721, 76.92)]
ResNet50-32-3-[(8, 4111, 0, 242, 10.01), (3, 4894, 0, 1219, 6.21), (12, 17612, 25, 2721, 11.79), (6, 17624, 93, 2721, 73.04)]
ResNet50-32-4-[(8, 4511, 0, 242, 10.01), (3, 6479, 0, 1249, 7.75), (14, 22500, 25, 2721, 12.19), (8, 22501, 91, 2721, 60.12)]
ResNet50-64-1-[(4, 3396, 0, 242, 10.01), (2, 3866, 0, 1419, 4.84), (6, 7400, 25, 2761, 10.22), (5, 7857, 89, 2761, 27.54)]
ResNet50-64-2-[(4, 3736, 0, 242, 10.01), (3, 4252, 0, 1307, 5.52), (6, 12744, 25, 2761, 11.19), (6, 12758, 89, 2761, 40.27)]
ResNet50-64-3-[(6, 4119, 2, 242, 10.01), (2, 4110, 0, 507, 6.32), (13, 17631, 25, 2761, 11.71), (8, 17648, 87, 2761, 36.54)]
ResNet50-64-4-[(4, 4510, 0, 242, 10.01), (2, 4530, 0, 735, 7.74), (15, 22518, 25, 2761, 12.33), (10, 22534, 86, 2761, 31.85)]
ResNet50-128-1-[(4, 3398, 0, 242, 10.01), (2, 3414, 0, 1047, 4.79), (5, 7870, 24, 2757, 10.3), (7, 7875, 75, 2757, 19.07)]
ResNet50-128-2-[(5, 3732, 0, 242, 10.01), (2, 3735, 0, 795, 5.71), (7, 12786, 28, 2755, 11.0), (7, 12810, 74, 2755, 21.81)]
ResNet50-128-3-[(5, 4124, 0, 242, 10.01), (3, 4164, 0, 949, 6.23), (14, 17698, 25, 2759, 11.67), (9, 17696, 75, 2759, 21.08)]
ResNet50-128-4-[(8, 4506, 0, 242, 10.0), (4, 4593, 0, 871, 7.85), (14, 20620, 0, 2757, 12.2), (12, 22625, 75, 2757, 18.17)]
MobileNetv2-8-1-[(4, 3404, 0, 242, 10.01), (2, 3419, 0, 1043, 4.75), (6, 7844, 31, 2705, 10.26), (4, 7854, 91, 2705, 172.74)]
MobileNetv2-8-2-[(7, 3735, 0, 242, 10.01), (3, 4296, 0, 1283, 5.61), (8, 12740, 25, 2705, 11.26), (4, 12749, 97, 2705, 298.5)]
MobileNetv2-8-3-[(6, 4112, 0, 242, 10.01), (2, 4138, 0, 935, 6.4), (13, 17606, 25, 2705, 11.67), (5, 17621, 98, 2705, 273.18)]
MobileNetv2-8-4-[(5, 4505, 0, 242, 10.01), (2, 4494, 0, 801, 6.59), (15, 20678, 0, 2705, 12.11), (6, 22488, 97, 2705, 243.07)]
MobileNetv2-16-1-[(2, 3402, 0, 242, 10.01), (2, 4031, 0, 1411, 4.84), (5, 7371, 31, 2709, 10.17), (4, 7850, 89, 2709, 91.4)]
MobileNetv2-16-2-[(5, 3736, 0, 242, 10.0), (2, 3732, 0, 409, 5.57), (9, 12714, 25, 2709, 11.4), (5, 12748, 96, 2709, 150.92)]
MobileNetv2-16-3-[(5, 4122, 0, 242, 10.01), (4, 4656, 0, 1033, 6.4), (12, 17611, 20, 2709, 11.8), (6, 17616, 98, 2709, 138.6)]
MobileNetv2-16-4-[(8, 4504, 0, 242, 10.01), (3, 7686, 1, 1307, 7.76), (13, 22496, 25, 2709, 12.5), (7, 22507, 95, 2709, 121.02)]
MobileNetv2-32-1-[(2, 3400, 0, 242, 10.01), (2, 4078, 0, 1491, 4.75), (5, 7468, 32, 2721, 10.18), (5, 7874, 86, 2721, 47.47)]
MobileNetv2-32-2-[(5, 3731, 0, 242, 10.0), (2, 3745, 0, 817, 5.6), (10, 11128, 15, 2721, 11.1), (5, 12741, 93, 2721, 76.84)]
MobileNetv2-32-3-[(6, 4115, 0, 242, 10.01), (2, 4136, 0, 779, 6.35), (13, 17622, 25, 2721, 11.78), (7, 17628, 93, 2721, 71.83)]
