AlexNet-8-1-[(3, 4991, 0, 248, 10.01), (2, 4989, 0, 248, 1.69), (6, 7540, 5, 1561, 12.62), (4, 7634, 86, 1561, 119.53)]
AlexNet-8-2-[(3, 5238, 0, 248, 10.01), (2, 5236, 0, 248, 2.19), (7, 10326, 0, 1501, 13.43), (4, 10507, 97, 1501, 240.14)]
AlexNet-8-3-[(2, 5515, 0, 248, 10.01), (3, 5913, 0, 423, 2.54), (11, 12836, 0, 1501, 13.9), (6, 13383, 97, 1501, 186.12)]
AlexNet-16-1-[(3, 5021, 0, 248, 10.01), (2, 5021, 0, 248, 1.71), (6, 7543, 13, 1563, 12.46), (4, 7586, 83, 1563, 64.09)]
AlexNet-16-2-[(3, 5236, 0, 248, 10.01), (2, 5234, 0, 248, 2.17), (7, 10396, 17, 1503, 12.66), (5, 10486, 96, 1503, 121.21)]
AlexNet-16-3-[(4, 5509, 0, 248, 10.01), (2, 5509, 0, 248, 2.47), (13, 13048, 0, 1503, 13.82), (6, 13382, 97, 1503, 94.27)]
AlexNet-32-1-[(2, 5015, 0, 248, 10.01), (2, 5157, 0, 425, 1.69), (6, 7549, 13, 1563, 12.33), (5, 7599, 83, 1563, 32.26)]
AlexNet-32-2-[(2, 5224, 0, 248, 10.01), (2, 5269, 0, 258, 2.09), (8, 10104, 2, 1503, 13.06), (5, 10493, 94, 1503, 60.9)]
AlexNet-32-3-[(2, 5510, 0, 248, 10.01), (2, 5523, 0, 248, 2.35), (9, 13068, 11, 1503, 13.88), (7, 13366, 95, 1503, 47.56)]
AlexNet-64-1-[(3, 5009, 0, 248, 10.01), (2, 4997, 0, 248, 1.7), (6, 7583, 13, 1623, 12.53), (6, 7617, 84, 1623, 17.99)]
AlexNet-64-2-[(2, 5246, 0, 248, 10.01), (2, 5241, 0, 248, 2.09), (8, 10191, 0, 1563, 13.0), (6, 10521, 91, 1563, 31.82)]
AlexNet-64-3-[(4, 5516, 0, 248, 10.01), (2, 5508, 0, 248, 2.38), (11, 12726, 17, 1563, 13.57), (8, 13443, 85, 1563, 25.49)]
AlexNet-128-1-[(2, 5027, 0, 248, 10.01), (2, 5018, 0, 248, 1.72), (6, 7616, 10, 1691, 12.49), (6, 7650, 71, 1691, 13.91)]
AlexNet-128-2-[(2, 5244, 0, 248, 10.01), (2, 5241, 0, 248, 2.15), (10, 10151, 1, 1631, 13.16), (8, 10575, 87, 1631, 17.1)]
AlexNet-128-3-[(2, 5522, 0, 248, 10.01), (2, 5517, 0, 248, 2.39), (12, 13415, 15, 1633, 14.5), (11, 13509, 80, 1633, 13.17)]
AlexNet-256-1-[(2, 5026, 0, 248, 10.01), (2, 5021, 0, 248, 1.74), (6, 7690, 6, 1837, 12.52), (6, 7727, 52, 1837, 14.0)]
AlexNet-256-2-[(2, 5267, 0, 248, 10.01), (3, 5530, 0, 423, 2.18), (9, 10190, 0, 1779, 12.96), (10, 10671, 75, 1779, 9.96)]
AlexNet-256-3-[(4, 5525, 0, 248, 10.01), (2, 5522, 0, 248, 2.54), (11, 13592, 14, 1781, 14.24), (14, 13722, 69, 1781, 7.66)]
ResNet18-8-1-[(2, 5025, 0, 248, 10.01), (2, 5016, 0, 248, 1.39), (5, 7596, 5, 833, 12.46), (3, 7647, 37, 833, 209.73)]
ResNet18-8-2-[(2, 5237, 0, 248, 10.01), (0, 0, 0, 0, 1.79), (9, 10170, 2, 769, 13.26), (5, 10587, 58, 769, 120.88)]
ResNet18-8-3-[(2, 5520, 0, 248, 10.01), (2, 5532, 0, 423, 2.02), (12, 13394, 10, 769, 13.77), (6, 13511, 59, 771, 86.62)]
ResNet18-16-1-[(2, 4996, 0, 248, 10.01), (2, 5043, 0, 423, 1.39), (6, 7579, 6, 859, 12.44), (4, 7631, 37, 859, 119.6)]
