machine,gpu_type,cap_cpu,cap_mem,cap_gpu
ca0d455228946a17120af878,CPU,96,512,0
784c3621cbf36930aa3cbb9d,CPU,96,512,0
48931f4f3bf9f7409a01c511,CPU,96,512,0
56f17ffe98e41dd0b4a45461,CPU,96,512,0
406434e56cf426692a4762b6,MISC,96,512,8
d674e1004bd5b0f4573eb927,MISC,96,512,8
406ea58b5c52c4fe12c45a69,MISC,96,512,8
9aa529a6d2f2841e5a640999,MISC,96,512,8
648b64346d50d1ac0eb46134,MISC,96,512,8
faef971f8e59ce748c2ee852,MISC,96,512,8
7c4d42a16e54f9bde6909d5b,MISC,96,512,8
eed799f1351035a450b92e12,MISC,96,512,8
892a707388e76b38f704f1b5,MISC,96,512,8
047b3b114e3a7149f5debddc,MISC,96,512,8
46276cd4cf7dafc29d07eab2,MISC,96,512,8
3451fa0c33761746e2373a2a,MISC,96,512,8
7974f1d38a849f2dfd0908c8,MISC,96,512,8
7dcbe3b8c2315d51baacc5d0,MISC,96,512,8
3aa877b58d6294192ab3fd71,MISC,96,512,8
3ea0f9a19f657eb87ed79dc4,MISC,96,512,8
e64a6196dbaebd8ecf45b1b2,MISC,96,512,8
12293bcbb049bbfcbd9b4763,MISC,96,512,8
