cpu_util,mem_util,gpu_util0,gmem_util0
18.8,6.0,0,1.27
28.5,6.0,1,1.27
28.9,6.1,0,1.27
27.1,6.1,0,2.51
29.1,6.3,3,4.15
24.8,6.6,4,5.89
24.9,7.1,3,7.56
26.9,7.4,1,10.14
28.7,7.4,0,10.14
63.8,7.5,0,10.14
26.0,7.6,0,10.14
24.8,7.6,0,10.14
26.5,7.7,0,10.14
52.8,7.8,0,10.14
24.6,7.8,0,10.14
24.9,7.9,0,10.14
25.1,8.0,0,10.25
26.1,8.0,81,12.87
28.9,8.0,81,12.87
27.1,8.0,83,12.87
22.8,8.0,85,12.87
31.3,8.0,80,12.87
29.4,8.0,77,12.87
27.7,7.9,73,12.87
29.9,8.0,80,12.87
28.8,8.0,91,12.87
29.7,8.0,91,12.87
30.6,8.0,85,12.87
28.2,8.0,78,12.87
25.5,8.0,78,12.87
27.5,8.0,75,12.87
26.2,8.0,73,12.87
25.4,8.0,82,12.87
28.5,8.0,0,12.87
26.5,7.5,0,12.87
20.9,7.5,0,12.87
26.0,7.6,0,12.87
25.7,7.7,0,12.87
37.7,7.7,0,12.87
24.9,7.8,0,12.87
23.5,7.8,0,12.87
23.4,7.9,0,12.87
61.4,8.0,0,12.87
27.9,8.0,85,12.87
26.2,8.0,82,12.87
59.6,8.0,85,12.87
28.8,8.0,91,12.87
31.4,8.0,94,12.87
19.1,7.9,91,12.87
26.3,7.9,90,12.87
29.9,8.0,85,12.87
28.3,8.0,89,12.87
28.2,8.0,86,12.87
28.9,8.0,86,12.87
28.4,8.0,85,12.87
28.2,8.0,89,12.87
29.0,8.0,84,12.87
27.5,8.0,85,12.87
20.1,8.0,0,12.87
26.7,7.5,0,12.87
55.8,7.5,0,12.87
25.2,7.5,0,12.87
21.7,7.7,0,12.87
27.3,7.7,0,12.87
55.8,7.8,0,12.87
40.5,7.8,0,12.87
23.9,7.9,0,12.87
26.5,8.0,0,12.87
43.0,8.0,79,12.87
29.5,8.0,76,12.87
28.4,8.0,76,12.87
26.2,8.0,74,12.87
26.6,8.0,81,12.87
25.5,8.0,80,12.87
28.1,8.0,76,12.87
25.3,8.0,75,12.87
65.2,8.0,94,12.87
28.5,8.0,74,12.87
25.7,8.0,72,12.87
28.4,8.0,89,12.87
26.4,8.0,85,12.87
26.6,8.0,83,12.87
27.7,8.0,83,12.87
26.0,8.0,84,12.87
24.3,8.0,0,12.87
24.3,7.4,0,12.87
21.8,7.5,0,12.87
23.0,7.6,0,12.87
46.1,7.7,0,12.87
21.4,7.7,0,12.87
24.2,7.8,0,12.87
24.8,7.8,0,12.87
33.4,7.8,0,12.87
22.6,8.0,0,12.87
23.7,8.0,87,12.87
27.9,8.0,84,12.87
23.2,8.0,82,12.87
26.4,8.0,81,12.87
26.5,8.0,84,12.87
