cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1
92.6,5.6,0,1.27,0,1.27
50.9,5.8,0,1.27,0,1.27
91.4,5.9,5,3.22,2,4.33
48.6,7.1,4,6.48,3,7.56
24.4,8.4,13,10.77,0,10.77
96.3,8.6,0,10.77,0,10.77
31.2,8.8,0,10.77,0,10.77
47.1,9.0,0,10.77,0,10.77
89.6,9.2,0,10.77,0,10.77
35.2,9.5,0,10.77,93,13.15
59.2,9.7,99,13.15,99,13.15
97.5,9.7,100,13.15,98,13.15
95.3,9.8,99,13.15,99,13.15
58.2,9.7,99,13.15,99,13.17
94.9,9.8,0,13.17,0,13.17
93.7,8.8,0,13.17,0,13.17
55.5,9.0,0,13.17,0,13.17
90.5,9.1,0,13.17,0,13.17
91.0,9.4,0,13.17,0,13.17
52.8,9.6,0,13.17,100,13.17
36.4,9.7,96,13.17,99,13.17
96.0,9.7,97,13.17,98,13.17
61.4,9.8,99,13.17,99,13.17
30.5,9.8,96,13.17,98,13.17
97.2,9.8,0,13.17,0,13.17
55.4,8.8,0,13.17,0,13.17
63.5,9.0,0,13.17,0,13.17
94.2,9.2,0,13.17,0,13.17
59.2,9.3,0,13.17,0,13.17
25.0,9.6,0,13.17,95,13.17
97.0,9.7,99,13.17,99,13.17
56.5,9.8,99,13.17,99,13.17
28.9,9.8,99,13.17,99,13.17
95.8,9.9,99,13.17,60,13.17
57.3,9.3,0,13.17,0,13.17
70.3,8.8,0,13.17,0,13.17
92.4,9.0,0,13.17,0,13.17
58.6,9.2,0,13.17,0,13.17
88.6,9.4,0,13.17,0,13.17
95.0,9.7,0,13.17,100,13.17
60.9,9.6,98,13.17,99,13.17
60.5,9.7,100,13.17,99,13.17
96.0,9.6,100,13.17,99,13.17
92.7,9.7,100,13.17,0,13.17
56.9,8.4,0,13.17,0,13.17
93.7,8.7,0,13.17,0,13.17
94.9,8.9,0,13.17,0,13.17
86.1,9.2,0,13.17,0,13.17
96.7,9.4,0,13.17,0,13.17
93.7,9.6,100,13.17,98,13.17
55.7,9.8,99,13.17,100,13.17
45.3,9.8,99,13.17,99,13.17
95.0,9.8,97,13.17,99,13.17
61.0,9.7,100,13.17,9,13.17
25.0,8.5,0,13.17,0,13.17
91.9,8.7,0,13.17,0,13.17
73.7,9.0,0,13.17,0,13.17
26.2,9.2,0,13.17,0,13.17
92.1,9.4,0,13.17,0,13.17
81.6,9.7,0,13.17,99,13.17
60.1,9.9,99,13.17,100,13.17
94.1,9.9,99,13.17,95,13.17
90.2,9.8,99,13.17,99,13.17
58.6,9.8,99,13.17,87,13.17
33.9,9.4,0,13.17,0,13.17
91.5,8.7,0,13.17,0,13.17
79.1,9.1,0,13.17,0,13.17
20.7,9.3,0,13.17,0,13.17
95.7,9.4,0,13.17,0,13.17
88.4,9.6,0,13.17,99,13.17
27.3,9.7,100,13.17,99,13.17
95.6,9.7,97,13.17,98,13.17
36.2,9.8,98,13.17,99,13.17
56.2,9.8,100,13.17,0,13.17
95.8,8.6,0,13.17,0,13.17
39.7,8.7,0,13.17,0,13.17
67.6,9.0,0,13.17,0,13.17
95.2,9.3,0,13.17,0,13.17
95.2,9.5,0,13.17,0,13.17
59.7,9.7,100,13.17,98,13.17
87.7,9.8,99,13.17,99,13.17
91.8,9.8,99,13.17,100,13.17
56.3,9.7,99,13.17,98,13.17
29.0,9.7,100,13.17,0,13.17
93.4,8.6,0,13.17,0,13.17
50.7,8.8,0,13.17,0,13.17
92.6,9.1,0,13.17,0,13.17
99.1,9.3,0,13.17,0,13.17
96.4,9.4,0,13.17,0,13.17
73.4,9.8,0,13.17,99,13.17
29.9,9.9,100,13.17,99,13.17
94.9,9.9,97,13.17,86,13.17
99.5,10.0,96,13.17,54,13.17
99.6,10.1,91,13.17,89,13.17
55.0,9.6,0,13.17,0,13.17
77.5,9.0,0,13.17,0,13.17
95.5,9.2,0,13.17,0,13.17
85.0,9.3,0,13.17,0,13.17
54.4,9.7,0,13.17,0,13.17
96.2,9.8,0,13.17,96,13.17
95.5,9.9,97,13.17,99,13.17
62.3,9.8,97,13.17,99,13.17
30.8,9.8,97,13.17,99,13.17
97.2,9.8,98,13.17,57,13.17
52.5,8.7,0,1.27,0,1.27
188.8
