cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2
95.2,6.2,0,1.27,0,1.27,0,1.27
53.0,6.6,1,1.27,0,1.27,0,2.29
90.0,7.0,2,3.55,5,5.04,2,6.39
59.8,9.8,4,8.96,7,10.77,0,10.77
90.6,10.8,0,10.77,0,10.77,0,10.77
67.5,11.3,0,10.77,0,10.77,0,10.77
94.5,11.7,0,10.77,0,10.77,0,10.77
88.9,12.3,73,12.09,99,13.15,98,13.16
61.0,12.6,99,13.15,96,13.15,98,13.16
92.8,12.5,99,13.15,98,13.15,99,13.16
59.4,12.6,84,13.18,0,13.18,0,13.18
93.3,11.0,0,13.18,0,13.18,0,13.18
62.2,11.5,0,13.18,0,13.18,0,13.18
39.7,12.0,0,13.18,0,13.18,0,13.18
95.7,12.5,99,13.18,98,13.18,99,13.18
65.5,12.5,99,13.18,99,13.18,98,13.18
94.9,12.5,99,13.18,99,13.18,100,13.18
60.7,12.4,0,13.18,0,13.18,0,13.18
76.2,11.1,0,13.18,0,13.18,0,13.18
54.1,11.5,0,13.18,0,13.18,0,13.18
26.9,12.1,0,13.18,0,13.18,99,13.18
86.5,12.5,100,13.18,100,13.18,99,13.18
68.3,12.5,98,13.18,100,13.18,91,13.18
95.6,12.5,94,13.18,99,13.18,0,13.18
64.3,10.9,0,13.18,0,13.18,0,13.18
94.1,11.4,0,13.18,0,13.18,0,13.18
52.7,11.9,0,13.18,0,13.18,0,13.18
54.7,12.3,0,13.18,98,13.18,96,13.18
94.8,12.5,100,13.18,99,13.18,99,13.18
63.6,12.5,99,13.18,99,13.18,99,13.18
95.6,12.4,100,13.18,0,13.18,0,13.18
93.7,11.0,0,13.18,0,13.18,0,13.18
91.5,11.4,0,13.18,0,13.18,0,13.18
52.2,11.9,0,13.18,0,13.18,50,13.18
96.7,12.4,56,13.18,91,13.18,98,13.18
93.4,12.5,99,13.18,98,13.18,100,13.18
98.3,12.5,93,13.18,99,13.18,96,13.18
94.7,12.5,0,13.18,0,13.18,0,13.18
59.0,11.0,0,13.18,0,13.18,0,13.18
89.6,11.5,0,13.18,0,13.18,0,13.18
97.9,12.0,0,13.18,0,13.18,0,13.18
91.8,12.6,0,13.18,99,13.18,100,13.18
69.7,12.5,100,13.18,97,13.18,99,13.18
93.9,12.5,100,13.18,98,13.18,99,13.18
55.4,12.5,100,13.18,0,13.18,0,13.18
94.0,11.0,0,13.18,0,13.18,0,13.18
93.4,11.5,0,13.18,0,13.18,0,13.18
91.0,11.9,0,13.18,0,13.18,0,13.18
94.1,12.4,100,13.18,100,13.18,99,13.18
66.1,12.5,100,13.18,99,13.18,100,13.18
93.4,12.6,99,13.18,99,13.18,95,13.18
54.8,12.5,0,13.18,0,13.18,0,13.18
96.6,11.1,0,13.18,0,13.18,0,13.18
94.8,11.4,0,13.18,0,13.18,0,13.18
35.6,11.9,0,13.18,0,13.18,0,13.18
96.6,12.5,99,13.18,95,13.18,99,13.18
64.0,12.5,99,13.18,99,13.18,100,13.18
95.4,12.6,95,13.18,99,13.18,0,13.18
53.4,10.7,0,13.18,0,13.18,0,13.18
24.3,11.2,0,13.18,0,13.18,0,13.18
89.1,11.7,0,13.18,0,13.18,0,13.18
83.1,12.3,0,13.18,20,13.18,100,13.18
93.6,12.5,98,13.18,98,13.18,99,13.18
61.8,12.5,98,13.18,99,13.18,99,13.18
94.0,12.5,99,13.18,0,13.18,0,13.18
56.3,11.0,0,13.18,0,13.18,0,13.18
92.9,11.4,0,13.18,0,13.18,0,13.18
96.9,11.8,0,13.18,0,13.18,0,13.18
55.6,12.3,0,13.18,97,13.18,99,13.18
95.4,12.5,99,13.18,99,13.18,99,13.18
61.2,12.5,99,13.18,97,13.18,98,13.18
92.9,12.5,0,13.11,0,1.27,0,1.27
193.63
