cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1
100.0,36.6,0,1.27,0,1.27
93.6,36.6,0,1.27,0,1.27
100.0,36.5,0,1.27,0,1.27
100.0,36.6,0,1.27,0,1.27
100.0,36.6,0,1.27,0,1.27
100.0,36.6,0,1.27,0,1.27
100.0,36.9,0,1.27,0,1.27
100.0,37.0,0,1.27,0,1.27
100.0,37.0,0,1.27,0,1.27
100.0,37.3,0,1.27,0,1.27
99.8,37.4,0,1.27,0,1.27
100.0,37.5,0,1.27,4,2.7
100.0,37.6,0,1.27,1,3.39
100.0,37.8,5,3.06,1,4.49
100.0,38.4,1,3.91,1,5.23
100.0,38.6,1,4.78,1,6.04
100.0,39.1,1,5.75,1,7.01
100.0,39.4,1,6.79,2,8.93
100.0,39.9,3,7.76,0,10.14
100.0,40.0,1,9.87,0,10.14
100.0,40.2,0,9.87,0,10.14
100.0,40.3,0,9.87,0,10.14
100.0,40.4,0,9.87,0,10.14
100.0,40.5,0,9.87,0,10.14
100.0,40.7,0,9.87,0,10.14
100.0,40.8,0,9.87,0,10.14
100.0,40.8,0,9.87,0,10.14
100.0,41.1,0,9.87,0,10.14
100.0,41.1,1,9.87,0,11.32
100.0,41.2,0,12.24,32,13.01
100.0,41.5,1,14.06,41,13.01
99.6,41.6,1,15.13,21,13.01
100.0,41.8,1,16.28,44,13.01
99.9,42.0,1,17.31,30,13.01
100.0,42.7,1,18.03,24,13.01
100.0,43.3,0,18.8,31,13.01
100.0,43.9,17,20.98,60,13.01
99.8,44.6,33,20.98,32,13.01
100.0,45.2,8,20.98,35,13.01
100.0,45.3,13,20.98,25,13.01
100.0,45.6,12,20.98,26,13.03
100.0,45.6,9,20.98,0,13.03
100.0,45.2,12,20.98,0,13.03
100.0,45.2,15,20.98,0,13.03
100.0,45.2,17,20.98,0,13.03
99.3,45.3,18,20.98,0,13.03
100.0,45.3,13,20.98,0,13.03
100.0,45.3,16,20.98,0,13.03
100.0,45.4,16,20.98,0,13.03
99.4,45.5,17,20.98,0,13.03
100.0,45.5,16,20.98,0,13.03
98.7,45.5,21,20.98,0,13.03
100.0,45.6,17,20.98,0,13.03
100.0,45.6,16,20.98,37,13.03
99.2,45.6,22,20.98,27,13.03
97.8,45.7,31,20.98,37,13.03
100.0,45.7,19,20.98,57,13.03
100.0,45.6,11,20.98,32,13.03
100.0,45.7,17,20.98,37,13.03
99.9,45.7,13,20.98,37,13.03
100.0,45.7,31,20.98,19,13.03
100.0,45.6,7,20.98,29,13.03
100.0,45.6,20,20.98,10,13.03
100.0,45.6,17,20.98,39,13.03
100.0,45.6,19,20.98,31,13.03
100.0,45.6,18,20.98,0,13.03
100.0,45.0,15,20.98,0,12.97
100.0,43.6,11,20.98,0,1.27
100.0,43.5,5,20.98,0,1.27
100.0,43.5,13,20.98,0,1.27
100.0,43.6,15,20.98,0,1.27
99.2,43.6,7,20.98,0,1.27
100.0,43.6,12,20.98,0,1.27
100.0,43.8,14,20.98,0,1.27
100.0,43.8,10,20.98,0,1.27
100.0,43.8,16,20.98,0,1.27
100.0,43.8,17,20.98,0,1.27
100.0,43.8,4,20.98,0,1.27
100.0,43.8,16,20.98,0,1.27
100.0,43.8,15,20.98,1,3.24
100.0,44.1,21,20.98,1,4.28
100.0,44.3,22,20.98,0,5.24
100.0,44.5,15,20.98,1,6.5
100.0,44.8,17,20.98,2,7.96
100.0,45.1,19,20.98,2,8.58
100.0,45.1,12,20.98,69,10.97
100.0,45.1,22,20.98,31,10.97
100.0,45.1,10,20.98,62,10.97
96.7,45.1,18,20.98,61,10.97
99.9,45.1,26,20.98,44,10.97
100.0,45.1,5,20.98,61,10.97
100.0,45.0,10,20.98,38,10.97
100.0,45.1,14,20.98,27,10.97
100.0,45.1,4,20.98,40,10.97
100.0,45.1,23,20.98,30,10.97
100.0,45.1,15,20.98,54,10.97
97.8,45.1,32,20.98,54,10.97
100.0,45.0,22,20.98,67,10.97
100.0,45.1,9,20.98,38,10.97
100.0,45.0,12,20.98,60,10.97
97.7,45.0,21,20.98,37,10.97
100.0,45.0,12,20.98,63,10.97
99.9,45.0,31,20.98,22,10.97
100.0,45.0,14,20.98,39,10.97
100.0,45.0,6,20.98,62,10.97
