cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
1.0,2.2,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.2,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.2,0,1.27,0,1.27,0,1.27,0,1.27
1.0,2.2,0,1.27,0,1.27,0,1.27,0,1.27
86.3,4.2,0,1.27,0,1.27,0,1.27,0,1.27
7.9,5.0,1,3.95,2,4.52,0,1.27,0,1.27
8.1,6.6,4,10.14,1,9.87,0,1.27,0,1.27
68.9,7.5,0,10.14,0,9.87,0,1.27,0,1.27
8.0,8.0,0,10.14,0,12.1,0,1.27,0,1.27
8.3,9.7,4,17.74,4,20.98,0,1.27,0,1.27
19.3,11.0,0,20.9,0,20.98,0,1.27,0,1.27
25.1,11.6,0,20.9,0,20.98,0,1.27,0,1.27
8.3,12.7,5,27.3,0,22.86,0,1.27,0,1.27
8.4,14.1,0,32.07,0,22.86,0,1.27,0,1.27
8.3,14.9,0,32.07,0,22.86,0,1.27,0,1.27
8.3,16.0,6,38.03,0,22.86,0,1.27,0,1.27
8.4,17.6,0,42.22,3,27.51,0,1.27,0,1.27
8.4,18.8,0,42.22,19,38.04,0,1.27,0,1.27
11.3,19.1,100,47.46,4,43.65,0,1.27,0,1.27
12.7,20.1,100,47.46,98,49.51,0,1.27,0,1.27
12.5,20.1,100,47.46,99,49.51,0,1.27,0,1.27
12.6,20.1,100,47.46,98,49.51,0,1.27,0,1.27
12.4,20.1,96,47.46,97,49.51,0,1.27,0,1.27
12.4,20.2,100,47.46,97,49.51,0,1.27,0,1.27
12.7,20.2,100,47.46,97,49.51,0,1.27,0,1.27
12.2,20.2,98,47.46,98,49.51,0,1.27,0,1.27
12.6,20.2,100,47.46,98,49.51,0,1.27,0,1.27
12.4,20.1,100,47.46,99,49.51,0,1.27,0,1.27
13.3,20.2,97,47.46,98,49.51,0,1.27,0,1.27
12.4,20.2,100,47.46,98,49.51,0,1.27,0,1.27
12.3,20.1,100,47.46,98,49.51,0,1.27,0,1.27
10.0,19.7,0,47.46,99,49.51,0,1.27,0,1.27
8.6,20.0,0,47.46,0,49.53,0,1.27,0,1.27
21.9,19.8,100,47.46,0,49.53,0,1.27,0,1.27
21.2,20.1,100,47.46,99,49.53,0,1.27,0,1.27
13.3,20.2,100,47.46,99,49.53,0,1.27,0,1.27
12.1,20.2,100,47.46,99,49.53,0,1.27,0,1.27
12.5,20.2,100,47.46,99,49.53,0,1.27,0,1.27
12.4,20.2,100,47.46,98,49.53,0,1.27,0,1.27
13.3,20.2,100,47.46,99,49.53,0,1.27,0,1.27
14.0,20.5,100,47.46,99,49.53,0,1.27,0,1.27
14.0,20.8,100,47.46,100,49.53,0,1.27,0,1.27
14.1,20.9,100,47.46,99,49.53,0,1.27,0,1.27
14.5,21.3,100,47.46,99,49.53,0,1.27,0,1.27
13.4,21.2,100,47.46,96,49.53,0,1.27,0,1.27
13.6,21.4,100,47.46,100,49.53,0,1.27,0,1.27
10.3,21.2,0,47.46,99,49.53,0,1.27,0,1.27
51.5,21.6,0,47.46,99,49.53,0,1.27,0,1.27
8.5,18.9,0,47.46,0,37.83,0,1.27,0,1.27
8.2,19.6,0,47.46,0,37.83,0,1.27,0,1.27
12.1,20.2,100,47.46,99,37.83,0,1.27,0,1.27
12.0,20.2,100,47.46,99,37.83,0,1.27,0,1.27
11.8,20.3,100,47.46,99,37.83,0,1.27,0,1.27
12.2,20.2,100,47.46,99,37.83,0,1.27,0,1.27
60.2,19.6,18,47.46,11,37.83,0,1.27,0,1.27
56.3,19.6,100,47.46,99,37.83,0,1.27,0,1.27
15.6,19.6,98,47.46,97,37.83,0,1.27,0,1.27
59.4,19.6,100,47.46,99,37.83,0,1.27,0,1.27
59.9,19.6,19,47.46,28,37.83,0,1.27,0,1.27
15.8,19.6,100,47.46,96,37.83,0,1.27,0,1.27
60.9,19.6,100,47.46,86,37.83,0,1.27,0,1.27
60.2,19.6,51,47.46,91,37.83,0,1.27,0,1.27
36.2,19.7,36,47.46,99,37.83,0,1.27,0,1.27
61.2,19.6,28,47.46,27,37.83,0,1.27,0,1.27
48.7,19.6,57,47.46,96,37.83,0,1.27,0,1.27
58.0,22.5,98,47.46,97,37.83,0,1.27,0,1.27
60.8,20.7,33,47.46,37,37.83,0,1.27,0,1.27
61.1,20.7,37,47.46,37,37.83,0,1.27,0,1.27
14.5,20.2,0,47.46,31,37.83,0,1.27,0,1.27
57.2,20.3,0,47.46,37,37.83,0,1.27,0,1.27
46.6,20.6,0,47.46,97,37.83,0,1.27,0,1.27
58.0,20.5,0,47.46,36,37.83,0,1.27,0,1.27
57.4,20.7,0,47.46,75,37.83,0,1.27,0,1.27
60.8,21.7,90,47.46,24,37.83,0,1.27,0,1.27
60.2,20.7,27,47.46,8,37.83,0,1.27,0,1.27
32.8,20.8,57,47.46,98,37.83,0,1.27,0,1.27
60.2,21.2,92,47.46,99,37.83,0,1.27,0,1.27
60.6,20.7,34,47.46,87,37.83,0,1.27,0,1.27
59.7,20.7,77,47.46,53,37.83,0,1.27,0,1.27
20.5,22.8,94,47.46,99,37.83,0,1.27,0,1.27
61.6,20.3,37,47.46,85,22.57,0,1.27,0,1.27
58.7,15.3,35,47.46,11,10.97,0,1.27,0,1.27
