cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1
93.8,39.1,0,1.27,0,1.27
100.0,39.1,0,1.27,0,1.27
100.0,39.1,0,1.27,0,1.27
99.5,39.1,0,1.27,0,1.27
100.0,39.0,0,1.27,0,1.27
95.8,39.1,0,1.27,0,1.27
99.8,39.3,0,1.27,0,1.27
100.0,39.4,0,1.27,0,1.27
100.0,39.4,0,1.27,0,1.27
100.0,39.6,0,1.27,0,1.27
100.0,39.6,0,1.27,0,1.27
95.0,39.7,0,1.27,1,2.57
100.0,39.9,2,2.83,1,3.78
99.7,40.5,1,4.0,0,4.82
100.0,41.0,1,5.05,1,5.93
100.0,41.4,1,6.24,3,6.7
100.0,41.8,1,7.11,1,7.59
100.0,42.2,2,7.99,0,10.14
99.5,42.3,0,9.87,0,10.14
100.0,42.4,0,9.87,0,10.14
100.0,42.4,0,9.87,0,10.14
100.0,42.6,0,9.87,0,10.14
100.0,42.7,0,9.87,0,10.14
100.0,42.8,0,9.87,0,10.14
100.0,43.0,0,9.87,0,10.14
99.9,43.1,0,9.87,0,10.14
100.0,43.2,0,9.87,0,10.14
100.0,43.3,0,9.87,0,10.14
99.6,43.4,0,12.86,32,13.01
100.0,43.5,45,12.86,27,13.01
100.0,43.5,49,12.86,39,13.01
100.0,43.5,56,12.86,35,13.01
99.9,43.5,52,12.86,32,13.01
100.0,43.5,44,12.86,45,13.01
100.0,43.5,56,12.86,28,13.01
100.0,43.4,39,12.86,37,13.01
98.4,43.4,61,12.86,19,13.01
100.0,43.5,37,12.86,22,13.01
100.0,43.5,47,12.86,23,13.01
100.0,43.4,38,12.86,31,13.01
100.0,43.5,45,12.86,0,13.03
99.8,42.9,53,12.86,0,13.03
100.0,42.3,0,12.86,0,13.03
100.0,42.5,0,12.86,0,13.03
100.0,42.6,0,12.86,0,13.03
99.8,42.7,0,12.86,0,13.03
100.0,42.9,0,12.86,0,13.03
100.0,42.9,0,12.86,0,13.03
100.0,43.0,0,12.86,0,13.03
100.0,43.1,0,12.86,0,13.03
98.1,43.2,0,12.86,0,13.03
97.9,43.3,0,12.86,0,13.03
99.9,43.5,0,12.86,32,13.03
100.0,43.5,0,12.86,20,13.03
100.0,43.5,23,12.86,20,13.03
100.0,43.5,39,12.86,19,13.03
100.0,43.5,36,12.86,23,13.03
100.0,43.4,51,12.86,43,13.03
100.0,43.5,54,12.86,19,13.03
100.0,43.5,37,12.86,48,13.03
100.0,43.5,50,12.86,28,13.03
100.0,43.4,45,12.86,20,13.03
100.0,43.5,34,12.86,21,13.03
100.0,43.5,31,12.86,23,13.03
100.0,43.4,32,12.86,38,13.03
100.0,43.4,68,12.86,42,13.03
99.9,43.5,31,12.86,19,13.03
100.0,43.5,47,12.86,0,12.97
100.0,42.4,40,12.86,0,1.27
100.0,41.3,0,12.86,0,1.27
100.0,40.8,0,12.86,0,1.27
100.0,40.8,0,12.86,0,1.27
100.0,40.8,0,12.86,0,1.27
100.0,41.0,0,12.86,0,1.27
99.9,40.9,0,12.86,0,1.27
100.0,41.2,0,12.86,0,1.27
100.0,41.2,0,12.86,0,1.27
99.0,41.4,0,12.86,0,1.27
99.5,42.5,0,12.86,0,1.27
100.0,43.7,0,12.86,0,1.27
100.0,44.1,0,12.86,0,1.27
95.0,44.5,62,12.86,0,1.27
100.0,44.8,49,12.86,0,1.27
100.0,44.8,40,12.86,0,2.55
100.0,44.9,44,12.86,1,3.71
100.0,45.2,31,12.86,1,4.81
100.0,45.5,56,12.86,4,6.72
100.0,45.8,34,12.86,1,7.81
100.0,46.1,40,12.86,0,8.06
99.4,46.1,41,12.86,60,10.97
100.0,46.1,55,12.86,55,10.97
99.3,46.1,57,12.86,57,10.97
100.0,46.2,51,12.86,65,10.97
100.0,46.1,34,12.86,35,10.97
100.0,46.1,48,12.86,42,10.97
100.0,45.7,0,12.86,31,10.97
100.0,45.6,0,12.86,71,10.97
100.0,45.6,0,12.86,65,10.97
100.0,45.7,0,12.86,34,10.97
100.0,45.8,0,12.86,41,10.97
100.0,45.8,0,12.86,55,10.97
100.0,45.8,0,12.86,54,10.97
100.0,46.0,0,12.86,52,10.97
100.0,45.9,0,12.86,42,10.97
98.1,46.1,1,12.86,45,10.97
98.9,46.1,66,12.86,61,10.97
100.0,46.1,45,12.86,35,10.97
100.0,46.1,40,12.86,30,10.97
100.0,46.1,45,12.86,48,10.97
100.0,46.1,29,12.86,58,10.97
100.0,46.1,52,12.86,37,10.97
100.0,46.1,60,12.86,38,10.97
100.0,46.1,31,12.86,48,10.97
100.0,46.1,39,12.86,48,10.97
100.0,46.1,54,12.86,58,10.97
100.0,46.1,54,12.86,31,10.97
100.0,46.1,36,12.86,64,10.97
99.8,46.1,56,12.86,62,10.97
100.0,46.1,38,12.86,66,10.97
100.0,45.8,0,12.86,45,10.97
100.0,45.6,0,12.86,39,10.97
100.0,45.6,0,12.86,50,10.97
100.0,45.7,0,12.86,39,10.97
100.0,45.8,0,12.86,72,10.97
100.0,45.8,0,12.86,59,10.97
100.0,45.8,0,12.86,47,10.97
100.0,45.9,0,12.86,35,10.97
100.0,45.9,0,12.86,50,10.97
100.0,46.0,1,12.86,60,10.97
99.8,46.1,1,12.86,42,10.97
100.0,46.1,33,12.86,28,10.97
100.0,46.1,32,12.86,43,10.97
100.0,46.0,56,12.86,62,10.97
96.5,46.1,67,12.86,0,1.27
100.0,44.6,48,12.86,0,1.27
99.5,44.5,46,12.86,0,1.27
100.0,44.5,46,12.86,0,1.27
100.0,44.5,42,12.86,0,1.27
100.0,44.6,58,12.86,0,1.27
100.0,44.6,46,12.86,0,1.27
99.9,44.6,76,12.86,0,1.27
97.3,44.8,54,12.86,2,2.96
100.0,45.0,55,12.86,1,3.96
100.0,45.2,0,12.86,1,5.36
100.0,43.5,37,1.27,1,6.8
100.0,43.6,0,1.27,1,8.6
100.0,43.8,0,1.27,24,9.38
100.0,43.9,0,1.27,14,9.38
100.0,43.8,0,1.27,8,9.38
100.0,43.8,0,1.27,10,9.38
100.0,43.9,0,1.27,9,9.38
100.0,43.9,0,1.27,5,9.38
100.0,43.8,0,1.27,25,9.38
100.0,43.9,0,1.27,12,9.38
100.0,43.9,0,1.27,13,9.38
100.0,43.9,0,1.27,8,9.38
100.0,43.9,0,1.27,18,9.38
100.0,43.9,0,1.27,14,9.38
100.0,43.9,0,1.27,27,9.38
100.0,43.9,0,1.27,14,9.38
98.9,43.9,0,1.27,7,9.38
99.7,43.9,0,1.27,9,9.38
100.0,43.9,0,1.27,6,9.38
98.7,43.9,0,1.27,13,9.38
100.0,43.9,0,1.27,6,9.38
100.0,43.9,0,1.27,18,9.38
100.0,43.9,0,1.27,27,9.38
100.0,43.9,0,1.27,12,9.38
100.0,43.9,0,1.27,10,9.38
100.0,43.9,0,1.27,10,9.38
100.0,43.9,0,1.27,18,9.38
100.0,43.9,0,1.27,14,9.38
100.0,43.9,0,1.27,22,9.38
93.5,43.9,0,1.27,17,9.38
99.7,44.0,0,1.27,6,9.38
100.0,43.9,0,1.27,11,9.38
97.1,43.9,0,1.27,6,9.38
100.0,43.9,0,1.27,12,9.38
100.0,44.0,0,1.27,12,9.38
97.6,43.9,0,1.27,14,9.38
100.0,43.9,0,1.27,13,9.38
100.0,43.9,0,1.27,20,9.38
100.0,43.9,0,1.27,11,9.38
100.0,43.9,0,1.27,15,9.38
100.0,43.9,0,1.27,20,9.38
89.4,43.9,0,1.27,14,9.38
99.3,43.9,0,1.27,10,9.38
100.0,43.9,0,1.27,22,9.38
92.3,43.9,0,1.27,22,9.38
99.2,43.9,0,1.27,13,9.38
100.0,44.0,0,1.27,11,9.38
100.0,43.9,0,1.27,14,9.38
100.0,44.0,0,1.27,22,9.38
91.1,43.9,0,1.27,24,9.38
99.3,43.9,0,1.27,24,9.38
96.9,43.9,0,1.27,25,9.38
100.0,43.9,0,1.27,10,9.38
99.8,43.9,0,1.27,8,9.38
100.0,43.9,0,1.27,9,9.38
100.0,43.9,0,1.27,13,9.38
100.0,43.9,0,1.27,11,9.38
100.0,43.9,0,1.27,14,9.38
100.0,43.9,0,1.27,14,9.38
100.0,43.9,0,1.27,14,9.38
100.0,43.9,0,1.27,5,9.38
