cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
10.0,5.2,0,1.27,0,1.27,0,1.27,0,1.27
49.8,5.2,0,1.27,0,1.27,0,1.27,0,1.27
49.9,6.7,0,1.27,0,1.27,0,1.27,0,1.27
55.0,6.1,0,1.27,0,1.27,0,1.27,0,1.27
54.0,6.2,0,1.27,0,1.27,0,1.27,2,5.01
51.9,7.4,7,2.91,4,3.96,3,5.67,31,9.39
54.1,11.2,2,8.67,0,10.14,44,10.97,6,9.39
93.1,11.6,0,9.87,0,10.14,14,10.97,17,9.39
12.3,12.0,0,9.87,0,10.14,49,10.97,26,9.39
96.1,12.4,0,9.87,0,10.14,37,10.97,19,9.39
56.7,12.7,32,12.86,33,13.01,61,10.97,36,9.39
61.5,12.9,54,12.86,25,13.01,38,10.97,3,9.39
59.0,12.7,35,12.86,16,13.01,33,10.97,18,9.39
46.8,12.7,74,12.86,73,13.01,69,10.97,36,9.39
60.6,13.7,89,12.86,0,13.03,66,10.97,30,9.39
83.4,12.7,74,12.86,0,13.03,65,10.97,30,9.39
54.1,14.2,0,12.86,0,13.03,52,10.97,33,9.39
9.3,13.3,0,12.86,72,13.03,53,10.97,35,9.39
40.3,13.8,71,12.86,85,13.03,79,10.97,27,9.39
48.3,12.7,57,12.86,51,13.03,47,10.97,23,9.39
46.2,10.9,78,12.86,0,1.27,67,10.97,22,9.39
27.0,12.7,95,12.86,0,1.27,62,10.97,33,9.39
8.4,10.7,0,12.86,0,1.27,64,10.97,31,9.39
5.2,10.4,0,12.86,6,3.16,66,10.97,34,9.39
51.7,12.1,0,12.86,3,9.38,68,10.97,20,9.39
33.1,12.2,90,12.86,28,9.38,45,10.97,30,9.39
7.9,13.1,83,12.86,32,9.38,0,1.27,0,1.27
9.9,9.5,94,12.86,35,9.38,0,1.27,0,1.27
49.1,9.3,82,12.86,20,9.38,0,1.27,0,2.63
18.7,9.2,0,12.86,28,9.38,4,5.38,3,7.95
90.7,12.6,0,12.86,35,9.38,0,10.14,35,9.39
54.1,13.0,0,12.86,35,9.38,0,10.14,28,9.39
40.7,12.8,76,12.86,28,9.38,0,10.14,27,9.39
9.1,12.3,80,12.86,0,1.27,67,12.75,34,9.39
18.6,11.5,78,12.86,0,1.27,85,12.75,29,9.39
19.1,11.9,76,12.86,5,6.56,63,12.75,26,9.39
28.1,12.3,0,12.86,0,9.87,79,12.75,21,9.39
40.0,13.7,0,12.86,0,9.87,78,12.75,35,9.39
61.2,13.4,0,12.86,78,12.95,95,12.75,24,9.39
13.4,14.4,85,12.86,76,12.95,79,12.75,32,9.39
49.1,13.3,72,12.86,92,12.95,79,12.75,25,9.39
59.0,13.9,91,12.86,0,12.97,64,12.75,24,9.39
59.5,14.0,88,12.86,0,12.97,72,12.75,29,9.39
56.3,12.2,33,1.27,0,12.97,88,12.75,29,9.39
58.5,12.1,0,1.27,73,12.97,74,12.75,32,9.39
32.5,11.3,0,1.27,92,12.97,84,12.75,26,9.39
55.2,12.9,7,5.45,33,1.27,74,12.75,20,9.39
5.0,11.7,0,10.14,0,1.27,0,12.75,35,9.39
25.1,11.6,0,10.14,0,1.27,0,12.75,36,9.39
73.3,12.2,0,10.14,6,7.28,0,12.75,29,9.39
92.3,13.8,63,12.84,4,9.43,89,12.75,30,9.39
89.0,12.8,27,12.84,9,9.43,62,12.75,32,9.39
70.2,14.6,81,12.84,6,9.43,59,12.75,33,9.39
50.7,13.0,68,12.84,4,9.43,87,12.75,27,9.39
70.2,14.3,83,12.84,3,9.43,64,12.75,20,9.39
54.4,14.1,87,12.84,4,9.43,60,12.75,33,9.39
54.9,13.3,88,12.84,2,9.43,78,12.75,29,9.39
22.5,13.0,85,12.84,9,9.43,92,12.75,30,9.39
94.0,13.2,0,12.84,3,9.43,92,12.75,25,9.39
77.0,12.4,0,12.84,7,9.43,65,12.75,21,9.39
77.4,12.8,0,12.84,9,9.43,69,12.75,35,9.39
45.5,13.1,79,12.84,0,1.27,87,12.75,27,9.39
57.3,11.7,65,12.84,0,2.59,96,12.75,27,9.39
13.3,14.0,91,12.84,4,8.96,56,12.75,37,9.39
46.3,12.7,64,12.84,0,9.87,85,12.75,25,9.39
55.9,12.9,74,12.84,0,9.87,0,1.27,37,9.39
54.7,11.7,77,12.84,77,12.95,0,1.27,0,1.27
32.2,9.8,47,12.84,89,12.95,0,1.27,0,1.27
42.2,10.4,48,12.84,93,12.95,5,6.47,3,6.79
53.5,12.7,0,12.84,0,12.97,0,10.14,7,9.44
74.7,13.1,0,12.84,0,12.97,0,10.14,4,9.44
56.1,14.6,0,12.84,0,12.97,0,10.14,7,9.44
39.4,14.5,90,12.84,68,12.97,72,12.75,9,9.44
96.7,13.8,53,12.84,56,12.97,66,12.75,3,9.44
53.8,13.5,65,12.84,76,12.97,78,12.75,3,9.44
21.6,13.1,78,12.84,0,12.97,91,12.75,11,9.44
69.3,13.2,74,12.84,0,12.97,86,12.75,6,9.44
9.7,13.5,46,12.84,0,12.97,78,12.75,2,9.44
52.7,13.4,44,12.84,93,12.97,75,12.75,27,1.27
18.3,12.8,79,12.84,96,12.97,86,12.75,0,1.27
61.5,12.6,0,12.78,0,12.97,85,12.75,0,1.27
56.2,10.9,0,1.27,0,12.97,85,12.75,0,1.27
24.0,12.3,3,4.06,0,12.97,75,12.75,3,7.64
10.3,13.1,0,10.14,92,12.97,82,12.75,5,9.34
96.6,13.3,0,10.14,42,12.97,75,12.75,10,9.34
56.4,13.4,0,10.14,65,12.97,86,12.75,5,9.34
50.9,13.6,59,12.87,0,1.27,0,12.75,6,9.34
88.9,10.7,77,12.87,0,1.27,0,12.75,9,9.34
77.9,12.1,85,12.87,0,1.27,0,12.75,5,9.34
69.4,11.5,70,12.87,1,1.27,57,12.75,1,9.34
90.4,12.6,72,12.87,4,3.57,93,12.75,2,9.34
96.7,13.9,0,12.87,1,8.05,80,12.75,7,9.34
10.2,13.7,0,12.87,19,9.38,75,12.75,6,9.34
59.8,12.7,85,12.87,33,9.38,71,12.75,0,1.27
18.8,11.3,75,12.87,29,9.38,80,12.75,0,1.27
13.3,11.3,85,12.87,21,9.38,93,12.75,0,2.29
13.0,12.2,64,12.87,23,9.38,78,12.75,4,8.67
58.2,13.5,90,12.87,33,9.38,65,12.75,0,10.15
31.9,12.8,0,12.87,34,9.38,80,12.75,0,10.15
56.6,13.7,0,12.87,30,9.38,64,12.75,85,13.02
19.4,15.2,90,12.87,30,9.38,31,12.75,93,13.02
30.2,13.4,83,12.87,33,9.38,91,12.75,96,13.02
29.1,13.5,74,12.87,8,9.38,90,12.75,0,13.04
43.8,13.3,82,12.87,25,9.38,91,12.75,0,13.04
89.6,13.0,66,12.87,19,9.38,0,1.27,44,13.04
31.9,9.0,0,1.27,34,9.38,0,1.27,76,13.04
55.4,11.3,0,1.27,31,9.38,1,1.27,69,13.04
40.1,10.0,0,1.27,29,9.38,0,1.27,0,13.04
48.5,11.5,3,6.19,31,9.38,0,1.27,0,13.04
5.3,12.8,89,13.77,31,9.38,0,1.27,0,13.04
30.7,12.3,89,13.77,34,9.38,0,1.27,88,13.04
47.1,12.7,82,13.77,26,9.38,0,1.27,81,13.04
49.7,12.9,76,13.77,6,9.38,6,3.63,95,13.04
9.7,14.1,82,13.77,19,9.38,1,7.16,9,13.04
16.3,13.7,41,13.77,32,9.38,0,16.52,0,13.04
53.9,13.5,14,13.77,28,9.38,94,16.52,0,13.04
