cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
51.0,9.3,0,1.27,0,1.27,0,1.27,0,1.27
1.0,7.4,0,1.27,0,1.27,0,1.27,0,1.27
48.9,8.4,0,1.27,0,1.27,0,1.27,0,1.27
74.9,8.4,0,1.27,0,1.27,0,1.27,0,1.27
63.7,11.3,0,1.27,0,1.27,0,1.31,2,3.64
35.6,15.3,0,2.56,0,2.36,19,16.88,11,19.24
29.7,24.9,8,15.51,16,15.88,31,39.76,39,37.17
22.6,40.1,19,29.97,17,31.54,93,53.74,68,46.96
98.5,48.0,93,40.48,90,41.72,72,56.12,54,48.48
99.8,50.1,93,46.19,48,41.98,28,56.12,53,48.85
99.7,51.5,100,46.19,62,41.98,80,61.63,55,50.2
99.5,53.7,93,46.23,41,41.98,90,61.63,68,53.3
99.1,55.6,86,49.09,87,47.82,100,65.03,78,55.77
99.2,57.7,95,51.27,96,49.94,94,65.04,75,58.41
99.9,58.9,92,54.55,96,52.92,94,65.04,93,65.42
99.4,58.4,99,61.41,100,65.24,100,65.04,100,70.95
99.7,58.0,100,61.41,99,65.24,96,65.04,95,70.95
100.0,57.9,100,61.41,100,65.24,100,65.04,100,70.95
95.8,58.1,95,61.41,99,65.24,100,65.04,100,70.95
97.7,59.3,97,61.41,98,65.24,96,65.04,99,70.95
99.6,56.7,100,48.9,99,65.24,97,64.97,100,70.95
99.6,56.1,99,48.9,100,65.24,100,56.97,98,70.95
99.2,57.5,100,48.9,98,65.24,100,56.97,100,70.95
99.5,56.2,90,48.9,98,45.38,100,58.93,92,55.69
99.1,50.7,94,51.69,96,45.38,99,61.04,99,47.62
99.3,51.1,100,54.29,96,45.38,100,63.34,97,47.62
87.9,51.2,100,56.52,99,47.65,100,65.06,100,47.62
96.6,50.4,100,56.52,74,53.89,100,71.4,88,47.62
99.7,47.7,76,41.31,98,61.3,100,71.4,100,39.55
61.9,41.8,99,35.71,100,45.16,100,77.06,100,39.66
33.6,43.7,97,35.71,100,45.16,100,77.06,86,39.66
55.3,43.6,91,35.71,100,46.21,100,77.06,100,43.81
64.7,48.6,100,41.76,100,49.37,99,77.06,100,52.24
69.1,51.2,97,49.63,100,51.73,100,77.06,100,57.22
96.3,53.2,100,53.22,100,53.22,100,77.06,100,57.22
94.2,55.0,100,53.22,100,53.33,100,77.06,100,58.57
91.8,55.3,100,54.57,98,53.33,100,77.06,100,61.16
95.7,56.7,100,57.18,99,53.33,100,77.06,100,63.56
83.6,57.4,100,60.4,100,53.33,100,77.06,100,76.69
95.6,56.4,100,73.36,100,53.33,100,77.06,100,77.35
89.7,58.0,100,73.36,97,53.33,100,77.06,100,77.35
98.4,57.0,100,73.36,100,53.33,100,77.06,100,77.35
91.1,56.7,100,73.36,100,53.33,100,77.06,100,77.35
96.0,57.4,100,73.36,100,43.63,100,77.06,100,77.35
96.9,55.3,100,73.36,100,43.63,100,77.06,100,77.35
91.9,55.2,100,73.36,100,43.63,100,77.06,100,77.35
79.9,57.4,100,73.36,100,35.46,100,77.06,100,77.35
41.1,53.5,100,73.36,100,35.46,100,77.06,100,77.35
99.5,53.5,100,73.36,100,35.46,100,77.06,100,77.35
49.5,52.1,100,65.29,95,35.46,100,77.06,100,77.35
62.7,52.7,100,65.29,100,35.46,100,77.06,100,77.35
28.0,53.2,100,65.29,100,35.46,100,77.06,100,77.35
65.7,54.0,100,65.29,100,35.46,100,77.06,100,77.35
67.9,54.3,100,65.29,100,36.5,100,77.06,100,77.35
77.6,56.3,100,65.29,100,39.4,100,77.06,100,77.35
77.8,56.1,100,65.29,100,42.55,100,77.06,100,77.35
31.3,55.7,100,65.29,100,42.03,100,79.33,100,77.35
76.2,53.2,100,65.29,100,42.03,100,79.33,100,77.35
90.3,53.5,100,65.29,98,42.03,100,79.33,100,77.35
76.9,52.9,100,65.29,100,42.03,100,79.33,100,77.35
49.6,53.2,100,65.29,100,42.03,100,79.33,100,77.35
65.2,53.1,100,65.29,100,42.03,100,79.33,100,77.35
77.1,53.7,100,65.29,100,42.03,100,79.33,100,77.35
40.0,53.1,100,65.29,100,42.03,100,79.33,100,57.22
75.3,50.9,100,65.29,99,42.03,100,79.33,100,57.22
58.2,46.6,100,45.15,99,29.52,100,79.33,100,57.22
38.4,44.3,100,45.15,100,29.52,100,79.33,100,57.22
88.4,46.1,100,45.15,90,29.52,96,79.33,100,57.22
84.9,47.4,100,46.88,95,34.76,100,79.33,100,62.92
46.9,50.4,100,52.84,100,41.77,100,79.33,100,68.22
77.8,54.2,100,57.67,100,44.76,100,79.33,100,73.45
60.9,55.5,100,61.44,99,44.76,100,79.33,100,73.45
94.9,55.8,100,61.44,82,50.27,100,79.33,100,73.45
94.9,56.1,99,67.29,100,50.27,100,79.33,100,79.31
31.8,57.2,100,67.3,100,50.27,100,79.33,100,79.31
74.9,56.7,100,67.3,100,50.27,100,79.33,100,79.31
92.6,56.9,100,67.3,100,50.27,100,66.09,100,79.31
82.5,55.0,100,67.3,100,50.27,100,66.09,100,79.31
98.3,54.2,100,67.3,100,50.27,100,66.09,100,79.31
93.9,54.3,100,67.3,100,50.27,100,66.09,100,79.31
30.7,55.5,100,67.3,100,50.27,100,66.09,100,79.31
44.7,52.4,100,67.3,100,41.87,100,66.09,100,79.31
93.0,54.4,100,67.3,100,41.87,100,66.09,100,79.31
70.8,52.7,100,67.3,100,41.87,100,66.09,100,79.31
79.8,52.0,100,59.19,93,41.8,100,66.09,100,79.31
68.0,47.4,100,59.19,89,22.02,100,66.09,100,79.31
87.1,47.4,100,59.19,85,22.02,100,66.09,100,79.31
95.4,48.7,100,59.19,92,22.02,100,66.09,100,79.31
48.2,48.4,100,59.23,29,31.55,100,66.09,100,66.07
79.6,49.3,100,61.85,93,42.33,100,66.09,100,58.01
41.8,49.0,100,64.24,89,50.53,100,66.09,100,58.01
97.9,52.0,100,66.02,87,50.53,100,66.09,100,58.01
51.2,50.8,100,67.25,75,50.53,100,66.09,100,58.01
91.9,51.3,100,67.25,100,56.4,100,66.09,100,58.01
94.3,51.5,100,67.25,97,56.4,100,66.09,100,58.01
84.4,51.7,100,67.25,100,56.4,100,66.09,100,58.01
70.1,52.0,100,67.25,100,56.4,100,66.09,100,58.01
97.4,51.2,100,67.25,100,56.4,100,66.09,100,49.1
27.8,50.5,100,67.25,100,56.4,100,66.09,100,49.1
97.4,51.0,100,67.25,100,56.4,100,66.09,100,51.52
95.2,52.9,100,67.25,100,56.4,100,66.09,100,54.42
40.1,52.4,100,67.25,100,56.4,100,66.09,100,57.16
88.4,54.4,100,67.25,100,56.4,100,66.09,100,57.16
44.6,53.2,100,67.25,100,56.4,100,66.09,100,57.2
83.4,53.7,100,67.25,100,56.4,100,66.09,100,60.45
58.2,54.9,100,67.25,100,56.4,100,66.03,100,62.77
85.4,52.3,100,67.25,100,56.4,100,50.01,100,65.4
87.4,50.6,100,59.19,100,56.5,99,50.01,100,72.42
56.0,52.6,100,59.23,100,56.5,100,52.67,100,72.42
86.2,53.2,100,62.13,100,56.5,100,56.1,100,72.42
69.9,55.2,100,64.18,100,56.5,100,57.76,100,72.42
70.9,54.2,100,66.65,100,56.5,100,57.76,100,72.42
97.8,54.5,100,67.25,100,56.5,100,60.06,100,72.42
88.0,55.6,100,67.25,100,56.5,100,60.06,100,72.42
80.5,55.5,100,67.25,100,56.5,100,60.06,100,72.42
97.3,54.5,100,67.25,100,56.5,100,60.06,100,72.42
67.7,55.7,100,67.25,100,56.5,100,60.06,100,72.42
96.6,54.6,100,67.25,99,56.5,100,60.06,100,72.42
98.4,54.4,100,67.25,100,62.17,100,46.78,100,72.42
98.4,53.5,100,67.25,100,62.17,100,38.66,100,72.42
65.5,51.1,100,67.25,100,62.17,92,38.66,100,72.42
98.4,51.5,100,67.25,100,62.17,100,38.66,100,72.42
89.6,50.9,100,67.19,100,62.17,99,38.66,100,64.3
29.7,47.9,100,57.17,100,62.17,100,38.66,100,64.3
91.4,48.2,100,57.17,100,62.17,100,38.66,100,56.24
84.1,45.7,100,57.17,100,62.17,100,38.66,100,56.24
27.3,47.5,100,58.87,100,62.17,100,41.24,100,57.95
70.7,48.3,100,61.21,100,62.17,100,43.99,100,60.18
27.2,50.2,100,55.6,97,62.17,100,46.72,100,62.2
74.2,48.4,100,56.45,100,62.17,100,46.83,100,64.4
67.3,50.0,100,56.45,100,62.17,100,46.83,100,64.4
74.0,49.1,100,57.2,100,62.17,100,46.83,100,64.4
54.4,49.8,100,57.2,100,62.17,100,46.83,100,64.4
53.7,48.9,100,57.2,100,62.17,100,46.83,100,64.4
26.1,50.3,100,57.2,100,62.17,100,46.83,100,64.4
76.1,49.1,100,57.2,100,62.17,100,46.83,100,64.4
43.2,50.2,100,57.2,96,62.17,100,46.83,100,64.4
82.4,49.1,100,57.2,100,62.17,100,46.83,100,64.4
37.1,49.1,100,57.2,100,62.17,100,46.83,100,64.33
87.0,46.8,100,47.76,100,62.17,100,46.83,100,54.95
25.0,46.7,100,47.76,100,62.17,100,38.66,100,54.95
56.0,44.3,100,47.76,100,62.17,100,27.56,100,54.95
21.7,42.7,100,47.76,100,62.17,100,27.56,100,54.95
36.5,41.8,100,47.76,100,62.17,99,27.56,100,54.95
72.4,43.0,94,47.76,95,62.17,98,27.56,100,56.6
85.2,45.4,100,51.12,100,62.17,99,40.69,100,58.77
77.6,50.9,100,57.55,100,62.17,100,49.99,100,61.2
47.7,51.2,100,62.09,100,62.17,96,50.97,100,63.01
77.5,52.2,100,64.04,98,62.17,100,56.48,100,63.07
93.1,53.7,100,64.04,100,62.17,99,56.48,100,63.07
72.4,54.1,100,67.68,100,62.17,100,60.12,100,63.07
29.2,54.3,100,67.68,99,62.21,100,60.12,100,63.07
69.0,53.6,100,67.68,100,62.21,100,60.12,100,63.07
71.4,54.4,100,67.68,100,62.21,100,60.12,100,63.07
29.7,54.9,100,67.68,100,62.21,100,60.12,100,47.82
60.9,50.9,100,67.68,100,62.21,100,60.12,100,47.82
77.2,50.4,100,67.68,100,62.21,100,60.12,100,47.82
46.7,50.6,100,67.68,100,62.21,100,60.12,100,47.82
57.6,50.6,100,67.68,100,62.21,100,60.12,100,47.82
77.9,52.4,100,67.68,100,62.21,100,60.12,100,47.82
28.1,50.9,100,67.68,100,62.21,100,60.12,100,47.82
61.3,50.8,100,67.68,100,62.21,100,60.12,100,47.82
42.0,50.5,100,67.68,100,62.21,100,60.12,100,47.82
32.8,52.4,100,67.68,100,62.21,100,60.12,100,47.82
67.8,50.4,100,67.68,100,62.21,100,60.12,100,47.82
27.3,50.5,100,67.68,100,62.21,100,60.12,100,47.82
75.2,49.7,100,67.68,100,62.21,100,60.12,100,47.82
28.2,50.3,100,67.68,100,62.21,100,60.12,100,47.82
66.7,50.7,100,67.68,100,62.21,100,60.12,100,47.82
26.9,51.6,100,67.68,100,62.21,100,60.12,100,47.82
27.1,50.4,100,67.68,100,62.21,100,60.12,100,47.82
28.1,51.5,100,67.68,100,62.21,100,60.12,100,47.82
63.3,50.4,100,67.68,100,62.21,100,60.12,100,47.82
28.4,51.0,100,67.68,100,62.21,100,65.74,100,47.82
76.8,49.8,100,67.68,100,62.21,100,65.74,100,47.82
27.7,51.4,100,67.68,100,62.21,100,65.74,100,47.82
76.8,50.4,100,67.68,100,62.21,100,65.74,100,47.82
76.9,50.5,100,67.68,100,62.21,100,65.74,100,47.82
46.2,50.6,100,67.68,100,62.21,100,65.74,100,47.82
78.9,50.2,100,67.68,100,62.21,100,65.74,100,47.82
66.4,50.8,100,67.68,100,62.21,100,65.74,100,47.82
72.8,50.7,100,67.68,100,62.21,100,65.74,100,47.82
37.3,50.1,100,67.68,100,62.21,100,65.74,100,47.82
72.9,50.6,100,67.68,100,62.21,100,65.74,100,47.82
37.2,50.5,100,67.68,100,62.21,100,65.74,100,47.82
64.0,50.6,100,67.68,100,62.21,100,65.74,100,47.82
76.7,52.0,100,67.68,100,62.21,100,65.74,100,47.82
68.2,51.0,100,67.68,100,62.21,100,65.74,100,47.82
65.3,52.6,100,67.68,100,62.21,100,65.74,100,33.79
74.3,47.3,100,53.65,100,62.21,100,65.74,100,33.79
74.3,47.1,100,53.65,100,62.21,100,65.74,100,38.11
68.5,47.5,100,56.72,96,62.21,100,65.74,100,47.27
66.7,51.0,100,60.37,100,62.21,100,65.74,100,49.03
32.0,52.2,100,61.82,100,62.21,100,65.74,98,49.03
65.9,51.4,100,61.82,98,62.21,100,65.74,100,52.47
86.4,51.8,100,61.82,100,62.21,100,65.74,100,52.47
94.3,49.9,100,53.72,83,62.21,100,65.74,100,52.47
27.9,50.0,100,53.72,100,62.21,100,65.84,100,52.47
96.7,51.4,100,53.72,100,62.21,100,65.84,100,52.47
94.1,50.1,100,53.72,99,62.21,100,65.84,100,52.47
95.4,50.0,100,53.72,100,62.21,100,65.84,100,52.47
76.4,50.9,100,53.72,100,62.21,97,65.84,100,52.47
71.7,50.0,100,53.72,100,62.21,100,65.84,100,52.47
92.8,50.4,100,53.72,100,62.21,100,65.84,100,52.47
53.4,51.8,100,53.72,100,62.21,100,65.84,100,52.47
96.0,50.7,100,53.72,100,62.21,100,65.84,100,52.47
93.5,51.6,100,53.72,94,62.21,100,65.84,100,52.47
69.7,50.2,100,53.72,100,62.21,100,65.84,100,52.47
78.2,49.8,100,37.43,100,62.21,100,65.84,100,52.47
36.7,47.7,100,41.44,100,62.21,100,65.84,100,44.31
59.3,49.5,100,47.98,100,62.21,100,65.84,100,44.31
54.2,48.4,100,51.94,100,62.21,100,65.84,100,44.31
28.1,49.3,100,51.94,100,62.21,100,65.84,100,44.31
75.6,48.7,100,52.47,100,62.21,100,65.84,100,47.78
70.7,48.9,100,52.47,100,62.21,100,65.84,99,47.78
66.9,49.8,100,52.47,100,62.21,100,65.84,100,47.78
37.6,49.7,100,52.47,100,62.21,100,65.84,100,47.78
29.8,50.9,100,52.64,100,62.21,100,65.84,100,47.78
76.2,49.2,100,53.7,100,62.21,100,65.84,100,47.78
53.8,49.5,100,53.7,100,62.21,100,65.84,99,47.78
76.8,50.5,100,53.7,100,62.21,100,65.84,100,47.78
61.6,49.9,100,53.7,100,62.21,100,65.84,100,47.78
27.6,50.7,100,53.7,97,62.21,100,65.84,100,47.78
58.0,49.2,100,53.7,100,62.21,99,65.84,100,47.78
51.9,45.5,100,41.9,100,62.21,100,54.04,100,47.78
75.5,45.4,100,41.9,100,62.21,100,54.04,100,47.78
25.6,46.3,100,41.9,100,62.21,100,54.04,100,47.78
99.3,46.7,99,41.9,100,62.21,100,54.04,100,47.83
75.9,46.7,100,45.34,100,62.21,100,57.09,100,52.55
63.2,49.2,100,49.98,100,62.21,100,60.0,100,57.49
88.1,50.3,100,49.98,100,62.21,100,62.2,100,57.53
88.1,50.2,100,49.91,100,62.21,100,62.2,100,57.53
68.5,49.1,100,46.97,100,62.21,100,62.2,100,57.53
39.9,49.3,100,46.97,100,62.21,100,62.2,100,57.53
50.1,51.4,100,46.97,100,62.21,100,62.2,100,57.53
40.7,49.2,94,46.97,100,62.21,100,62.2,100,57.53
76.4,49.3,100,46.97,100,62.21,100,62.2,100,57.53
77.0,50.9,100,46.97,100,62.21,100,54.08,100,57.53
28.2,47.7,100,46.97,93,62.21,100,54.08,100,57.53
77.7,46.9,99,46.97,100,62.21,100,54.08,100,57.53
27.7,48.8,100,46.97,100,62.21,100,54.08,100,57.53
32.6,48.3,100,46.97,100,62.21,100,54.08,100,57.53
30.7,49.4,99,46.97,100,62.21,100,54.08,100,57.53
72.0,48.0,100,46.97,100,62.21,100,54.08,100,57.53
75.2,49.5,100,46.97,100,62.21,100,54.08,100,57.53
74.9,46.3,100,46.97,100,52.12,100,54.08,100,57.53
71.7,46.9,100,46.97,98,52.12,100,54.08,100,57.53
41.7,45.8,100,46.97,99,52.12,100,44.02,100,57.53
73.5,43.8,100,46.97,100,54.51,100,44.02,100,57.53
25.3,45.4,100,46.97,92,57.09,100,44.02,100,57.53
26.3,45.6,100,46.97,100,59.74,100,45.86,100,57.53
88.3,47.7,100,46.97,100,59.74,100,48.94,100,57.53
38.9,46.8,100,46.97,91,59.74,100,51.65,100,57.53
83.2,45.9,96,46.97,100,61.29,92,51.65,100,57.53
43.5,47.9,100,46.97,100,61.29,100,51.65,100,57.53
69.6,47.6,98,46.97,100,61.29,100,53.19,100,57.53
28.3,48.4,100,46.97,98,61.29,100,53.19,100,57.53
76.7,47.3,100,46.97,100,61.29,100,53.19,100,57.53
52.0,48.7,100,46.97,100,61.29,100,53.19,100,57.53
53.0,48.2,100,46.97,100,61.29,100,53.19,100,57.53
76.1,49.1,100,46.97,100,61.29,100,53.19,100,57.53
37.0,47.8,100,46.97,100,61.29,100,53.19,99,57.53
75.9,48.6,100,46.97,99,61.29,100,53.19,100,57.53
39.8,47.8,100,46.97,100,61.29,100,53.19,100,57.53
76.1,48.7,100,46.97,100,61.29,100,53.19,100,57.53
39.6,47.8,100,46.97,100,61.29,100,53.19,100,57.53
87.7,46.9,99,46.97,100,61.29,100,53.19,100,57.53
30.0,47.0,100,46.97,99,61.29,100,53.19,100,57.53
78.1,47.6,93,46.97,100,61.29,100,53.19,100,57.53
26.7,48.2,100,39.11,99,61.29,100,53.19,100,57.53
25.4,45.2,100,39.11,100,61.29,100,53.19,100,57.53
74.8,46.8,100,39.11,100,61.29,100,53.19,100,57.53
74.0,45.7,100,39.11,100,61.29,100,53.19,100,57.53
69.1,45.6,100,39.11,100,61.29,100,53.19,100,57.53
26.2,46.6,100,39.11,100,61.29,100,53.19,100,57.53
28.5,46.2,100,39.11,100,61.29,100,53.19,100,57.53
97.4,47.1,100,39.11,100,61.29,100,53.19,100,57.53
74.3,45.1,100,39.11,100,48.05,100,53.19,100,57.53
81.6,42.8,100,39.11,100,48.05,100,53.19,100,57.53
55.3,43.9,100,39.11,100,48.05,100,53.19,100,57.53
