cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
0.8,3.0,0,1.37,0,1.37,0,1.37,0,1.37
0.0,3.0,0,1.37,0,1.37,0,1.37,0,1.37
0.0,3.0,0,1.37,0,1.37,0,1.37,0,1.37
6.1,3.5,0,1.37,0,1.37,0,1.37,0,2.52
5.6,4.9,0,1.37,0,1.37,0,1.37,65,25.73
6.3,10.0,0,1.37,5,7.81,0,1.37,66,25.73
6.2,11.8,0,1.37,83,13.87,0,1.37,66,25.73
6.2,13.0,0,1.37,83,13.87,0,1.37,65,25.73
6.2,13.9,0,1.37,83,13.87,4,4.61,67,25.73
6.6,16.1,4,8.71,83,13.87,0,21.22,65,25.73
6.2,16.0,97,16.62,82,13.87,95,21.22,66,25.73
6.3,16.0,96,16.62,83,13.87,96,21.22,66,25.73
6.3,16.0,97,16.62,82,13.87,96,21.22,66,25.73
6.2,16.0,97,16.62,83,13.87,96,21.22,66,25.73
6.5,16.0,97,16.62,82,13.87,96,21.22,66,25.73
6.2,16.0,96,16.62,82,13.87,95,21.22,66,25.73
6.2,16.0,97,16.62,82,13.87,96,21.22,66,25.73
6.2,16.0,97,16.62,83,13.87,96,21.22,67,25.73
6.3,16.0,95,16.62,82,13.87,0,21.15,67,25.73
5.2,12.1,0,1.37,89,13.87,0,1.37,69,25.73
71.0,9.4,0,1.37,88,13.87,0,1.37,72,25.73
5.3,8.3,0,1.37,0,1.37,0,1.37,50,17.54
7.8,7.5,2,7.12,0,1.37,0,1.37,28,9.49
6.3,8.0,87,13.87,0,1.37,0,1.37,36,15.23
6.3,10.0,88,13.87,0,1.37,0,1.37,68,25.73
6.2,12.6,88,13.87,0,1.37,4,5.57,70,25.73
6.4,14.5,89,13.87,0,1.37,71,16.62,48,17.61
5.5,13.0,89,13.87,0,1.37,97,16.62,48,17.61
5.3,13.7,83,13.87,6,5.91,97,16.62,48,17.61
5.3,14.6,82,13.87,97,16.62,97,16.62,48,17.61
5.6,14.4,81,13.87,97,16.62,97,16.62,48,17.61
5.2,14.4,83,13.87,97,16.62,97,16.62,48,17.61
5.5,14.4,83,13.87,97,16.62,97,16.62,48,17.61
5.2,14.4,82,13.87,97,16.62,97,16.62,48,17.61
5.2,14.4,83,13.87,97,16.62,97,16.62,48,17.61
5.2,14.4,82,13.87,97,16.62,97,16.62,47,17.61
5.3,14.4,83,13.87,97,16.62,97,16.62,48,17.61
5.8,14.4,82,13.87,97,16.62,97,16.62,47,17.61
5.2,14.4,82,13.87,97,16.62,96,16.62,48,17.61
5.3,14.4,82,13.87,97,16.62,97,16.62,47,17.61
5.4,14.0,89,13.87,98,16.62,0,1.37,48,17.61
3.0,9.5,0,1.37,98,16.62,0,1.37,48,17.61
3.3,9.5,0,1.37,98,16.62,0,1.37,53,17.61
7.3,10.3,0,1.37,98,16.62,8,3.77,55,22.11
7.3,12.1,0,1.37,0,1.37,37,14.21,52,17.61
5.2,10.3,0,1.37,0,1.37,86,19.19,52,17.61
7.5,11.3,0,1.37,0,1.37,65,19.19,54,22.9
7.9,13.3,0,1.37,0,1.37,67,19.19,52,24.65
