cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1
100.0,37.1,0,1.27,0,1.27
100.0,37.1,0,1.27,0,1.27
100.0,37.1,0,1.27,0,1.27
100.0,37.1,0,1.27,0,1.27
100.0,37.0,0,1.27,0,1.27
100.0,37.0,0,1.27,0,1.27
100.0,37.3,0,1.27,0,1.27
100.0,37.5,0,1.27,0,1.27
100.0,37.5,0,1.27,0,1.27
100.0,38.0,0,1.27,0,1.27
99.9,38.1,0,1.27,0,1.27
100.0,38.1,0,1.27,0,3.29
100.0,38.6,5,4.73,1,4.47
100.0,39.4,2,6.7,1,5.52
99.7,40.1,2,8.84,1,6.83
100.0,40.9,3,11.89,3,10.48
99.7,42.1,2,14.24,13,12.85
100.0,42.5,0,19.02,22,13.97
100.0,42.9,0,19.02,19,15.25
100.0,43.2,0,19.02,14,16.18
100.0,43.5,0,19.02,13,19.09
100.0,43.5,0,19.02,62,19.09
100.0,43.5,0,19.02,35,19.09
100.0,43.6,0,19.02,55,19.09
100.0,43.7,0,19.02,57,19.09
100.0,43.7,0,19.02,37,19.09
100.0,43.8,0,19.02,87,19.09
100.0,43.8,0,19.02,61,19.09
100.0,43.9,54,21.74,34,19.09
100.0,44.0,34,21.74,72,19.09
100.0,44.0,50,21.74,47,19.09
100.0,44.0,42,21.74,73,19.09
100.0,44.1,42,21.74,46,19.09
100.0,44.1,44,21.74,95,19.09
99.2,44.2,61,21.74,60,19.09
100.0,44.2,31,21.74,38,19.09
100.0,44.3,25,21.74,52,19.09
100.0,44.3,53,21.74,65,19.09
99.5,44.4,37,21.74,63,19.09
100.0,44.5,50,21.74,55,19.09
100.0,44.4,32,21.74,50,19.09
100.0,44.5,27,21.74,79,19.09
100.0,44.5,43,21.74,76,19.09
100.0,44.2,0,24.61,98,19.09
100.0,44.0,30,24.61,64,19.09
100.0,44.0,18,24.61,60,19.09
100.0,44.1,31,24.61,49,19.09
100.0,44.2,29,24.61,49,19.09
100.0,44.2,25,24.61,90,19.09
100.0,44.2,32,24.61,69,19.09
100.0,44.4,37,24.61,56,19.09
100.0,44.4,23,24.61,45,19.09
100.0,44.5,19,24.61,77,19.09
99.5,44.5,39,24.61,36,19.09
100.0,44.6,30,24.61,78,19.09
99.7,44.6,50,24.61,75,19.09
100.0,43.9,35,24.63,49,19.09
100.0,44.1,46,24.63,58,19.09
98.9,44.0,32,24.63,93,19.09
100.0,44.1,45,24.63,71,19.09
100.0,44.1,28,24.63,42,19.09
100.0,44.2,25,24.63,88,19.09
99.1,44.2,53,24.63,65,19.09
100.0,44.4,46,24.63,37,19.09
100.0,44.3,34,24.63,46,19.09
100.0,44.5,31,24.63,55,19.09
99.8,44.4,71,24.63,41,19.09
100.0,44.6,42,24.63,34,19.09
100.0,44.6,37,24.63,75,19.09
100.0,44.9,45,24.63,56,19.09
100.0,45.7,38,24.63,83,19.09
100.0,45.8,36,24.63,40,19.09
100.0,46.5,37,24.63,12,19.02
100.0,46.5,39,24.63,13,9.38
100.0,45.6,36,24.63,13,9.38
100.0,45.8,27,24.63,14,9.38
100.0,45.9,23,24.63,10,9.38
100.0,45.9,23,24.63,14,9.38
100.0,46.1,35,24.63,13,9.38
100.0,46.0,37,24.63,9,9.38
100.0,46.1,27,24.63,10,9.38
100.0,46.2,16,24.63,11,9.38
100.0,46.2,33,24.63,12,9.38
100.0,46.2,29,24.63,10,9.38
100.0,46.2,0,24.63,9,9.38
100.0,44.3,59,12.87,12,9.38
100.0,44.0,54,12.87,21,9.38
99.6,44.0,73,12.87,14,9.38
100.0,44.0,42,12.87,5,9.38
100.0,44.0,26,12.87,10,9.38
100.0,44.0,32,12.87,7,9.38
100.0,44.0,57,12.87,13,9.38
100.0,44.0,35,12.87,14,9.38
100.0,44.0,52,12.87,12,9.38
100.0,44.1,50,12.87,12,9.38
100.0,44.1,29,12.87,18,9.38
100.0,44.0,36,12.87,6,9.38
100.0,44.0,31,12.87,20,9.38
100.0,44.1,43,12.87,10,9.38
100.0,44.0,43,12.87,20,9.38
100.0,44.1,28,12.87,10,9.38
100.0,43.4,0,12.87,15,9.38
100.0,43.6,0,12.87,10,9.38
100.0,43.6,0,12.87,12,9.38
100.0,43.6,0,12.87,9,9.38
100.0,43.7,0,12.87,14,9.38
100.0,43.6,0,12.87,10,9.38
100.0,43.7,0,12.87,14,9.38
100.0,43.7,0,12.87,26,9.38
100.0,43.8,0,12.87,24,9.38
100.0,43.9,0,12.87,13,9.38
100.0,43.9,0,12.87,12,9.38
100.0,44.0,0,12.87,0,9.31
100.0,42.7,0,12.87,0,1.27
100.0,42.6,34,12.87,0,1.27
