cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
0.8,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.1,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.2,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.1,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.3,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
0.0,2.3,0,1.27,0,1.27,0,1.27,0,1.27
