ave_cpu_allocate, ave_mem_allocate, ave_gpu_allocate, ave_gmem_allocate, idel_gpu_num, job_not_start_num, job_dealing_num
0.0,0.0,0.0,0.0,4,1,0
 0.0,0.0,0.0,0.0,4,0,0
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.5,0.9375,1.6,0.0,2,92,8
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.4375,0.8203125,1.4,0.0,2,92,7
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.3125,0.5859375,1.0,0.0,2,92,5
 0.25,0.46875,0.8,0.0,2,92,4
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.5416666666666666,0.8203125,1.4,0.0,2,88,7
 0.4166666666666667,0.5859375,1.0,0.0,2,88,5
 0.4166666666666667,0.5859375,1.0,0.0,2,88,5
 0.4166666666666667,0.5859375,1.0,0.0,2,88,5
 0.4166666666666667,0.5859375,1.0,0.0,2,88,5
 0.6041666666666666,0.9375,1.6,0.0,2,84,8
 0.6041666666666666,0.9375,1.6,0.0,2,84,8
 0.6041666666666666,0.9375,1.6,0.0,2,84,8
 0.4375,0.8203125,1.4,0.0,2,84,7
 0.375,0.703125,1.2,0.0,2,84,6
 0.375,0.703125,1.2,0.0,2,84,6
 0.375,0.703125,1.2,0.0,2,84,6
 0.3125,0.5859375,1.0,0.0,2,84,5
 0.3125,0.5859375,1.0,0.0,2,84,5
 0.5,0.9375,1.6,0.0,1,80,8
 0.5,0.9375,1.6,0.0,1,80,8
 0.5,0.9375,1.6,0.0,1,80,8
 0.5,0.9375,1.6,0.0,1,80,8
 0.5,0.9375,1.6,0.0,1,80,8
