cpu_util,mem_util,gpu_util0,gmem_util0
0.2,5.0,0,2.25
0.2,5.0,0,2.25
0.4,5.0,0,2.25
2.1,5.2,0,2.25
2.1,5.2,0,2.25
2.3,5.3,0,2.25
2.1,5.3,0,2.25
2.1,5.3,0,2.25
2.9,5.3,0,2.27
2.1,5.4,0,4.64
2.5,5.7,0,5.99
2.5,6.0,3,7.37
2.1,6.3,3,8.62
1.9,6.5,4,9.95
2.7,6.8,4,11.31
2.3,7.1,4,12.77
2.1,7.4,4,14.0
2.3,7.6,4,16.18
2.1,7.6,4,16.18
1.5,7.8,4,16.18
2.5,7.8,0,16.18
79.1,7.8,0,16.18
2.5,7.8,0,16.18
2.3,7.9,0,16.18
2.1,8.0,0,16.18
2.1,8.1,0,16.18
2.7,8.1,0,16.18
2.3,8.1,0,16.18
10.1,8.2,0,16.18
2.5,8.3,0,16.18
2.1,8.4,0,16.18
2.3,8.4,0,16.18
2.1,8.4,0,16.18
2.1,8.4,0,16.18
2.3,8.6,0,16.18
18.0,8.7,0,16.18
2.1,8.7,0,16.18
2.3,8.7,0,16.18
2.5,8.7,0,19.89
3.5,8.8,0,19.89
2.9,8.8,22,19.89
3.5,8.8,22,19.89
3.3,8.8,48,19.89
2.9,8.8,48,19.89
3.5,8.8,48,19.89
2.9,8.8,45,19.89
2.7,8.8,45,19.89
2.7,8.8,46,19.89
2.7,8.8,46,19.89
3.5,8.8,48,19.89
2.9,8.8,48,19.89
2.9,8.8,48,19.89
2.9,8.8,47,19.89
2.9,8.8,47,19.89
3.3,8.8,46,19.89
2.9,8.8,46,19.89
3.1,8.8,46,19.89
2.7,8.8,47,19.89
2.9,8.8,47,19.89
3.3,8.8,44,19.89
2.9,8.8,44,19.89
2.5,8.8,44,19.89
3.7,8.8,44,19.89
4.0,8.8,44,19.89
3.1,8.8,49,19.89
3.1,8.8,49,19.89
2.9,8.8,51,19.89
2.7,8.8,51,19.89
3.1,8.8,51,19.89
2.9,8.8,46,19.89
2.5,8.8,46,19.89
3.5,8.8,46,19.89
2.9,8.8,46,19.89
2.7,8.8,46,19.89
3.1,8.8,48,19.89
3.3,8.8,48,19.89
2.7,8.8,45,19.89
3.1,8.8,45,19.89
2.7,8.8,46,19.89
2.7,8.8,46,19.89
3.1,8.8,46,19.89
2.9,8.8,44,19.89
2.5,8.8,44,19.89
3.7,8.8,44,19.89
3.3,8.8,44,19.89
2.9,8.8,44,19.89
2.9,8.8,54,19.89
3.3,8.8,54,19.89
3.1,8.8,46,19.89
3.3,8.8,46,19.89
2.7,8.8,47,19.89
2.9,8.8,47,19.89
3.5,8.8,47,19.89
2.9,8.8,44,19.89
2.7,8.8,44,19.89
3.1,8.8,47,19.89
2.5,8.8,47,19.89
2.7,8.8,47,19.89
4.0,8.8,49,19.89
3.3,8.8,49,19.89
2.9,8.8,49,19.89
2.9,8.8,49,19.89
2.7,8.8,44,19.89
2.5,8.8,44,19.89
3.1,8.8,44,19.89
2.9,8.8,42,19.89
2.7,8.8,42,19.89
2.7,8.8,44,19.89
3.1,8.8,44,19.89
3.1,8.8,44,19.89
3.1,8.8,46,19.89
2.7,8.8,46,19.89
3.1,8.8,49,19.89
3.1,8.8,49,19.89
2.9,8.8,49,19.89
2.9,8.8,50,19.89
3.5,8.8,50,19.89
2.9,8.8,44,19.89
2.9,8.8,44,19.89
2.9,8.8,44,19.89
2.7,8.8,44,19.89
17.3,8.8,44,19.89
6.0,8.8,44,19.89
2.9,8.8,44,19.89
4.1,8.8,49,19.89
3.7,8.8,49,19.89
2.7,8.8,49,19.89
2.9,8.8,52,19.89
3.1,8.8,52,19.89
2.9,8.8,51,19.89
2.7,8.8,51,19.89
3.3,8.8,45,19.89
2.9,8.8,45,19.89
2.9,8.8,45,19.89
3.3,8.8,44,19.89
3.1,8.8,44,19.89
2.7,8.8,44,19.89
3.5,8.8,44,19.89
2.9,8.8,44,19.89
3.1,8.8,45,19.89
3.5,8.8,45,19.89
2.9,8.8,44,19.89
2.9,8.8,44,19.89
3.3,8.8,45,19.89
2.9,8.8,45,19.89
2.9,8.8,45,19.89
3.1,8.8,46,19.89
2.7,8.8,46,19.89
3.3,8.8,46,19.89
2.9,8.8,46,19.89
2.7,8.8,46,19.89
2.9,8.8,46,19.89
3.3,8.8,46,19.89
2.9,8.8,53,19.89
3.5,8.8,53,19.89
3.5,8.8,51,19.89
2.9,8.8,51,19.89
3.1,8.8,51,19.89
3.3,8.8,48,19.89
2.7,8.8,48,19.89
3.3,8.8,46,19.89
3.1,8.8,46,19.89
2.7,8.8,46,19.89
3.3,8.8,45,19.89
3.1,8.8,45,19.89
2.7,8.8,45,19.89
2.9,8.8,45,19.89
3.1,8.8,45,19.89
2.7,8.8,45,19.89
3.3,8.8,45,19.89
3.3,8.8,46,19.89
2.9,8.8,46,19.89
2.9,8.8,50,19.89
2.9,8.8,50,19.89
3.3,8.8,50,19.89
3.3,8.8,44,19.89
3.1,8.8,44,19.89
2.7,8.8,47,19.89
2.9,8.8,47,19.89
2.9,8.8,47,19.89
3.1,8.8,48,19.89
3.5,8.8,48,19.89
3.5,8.8,48,19.89
2.9,8.8,48,19.89
3.1,8.8,48,19.89
2.9,8.8,48,19.89
2.5,8.8,48,19.89
3.5,8.8,49,19.89
3.3,8.8,49,19.89
2.9,8.8,48,19.89
3.3,8.8,48,19.89
3.1,8.8,48,19.89
3.1,8.8,48,19.89
3.5,8.8,48,19.89
3.3,8.8,47,19.89
3.1,8.8,47,19.89
2.9,8.8,52,19.89
2.9,8.8,52,19.89
2.9,8.8,52,19.89
2.9,8.8,56,19.89
3.7,8.8,56,19.89
3.3,8.8,53,19.89
3.1,8.8,53,19.89
2.7,8.8,53,19.89
3.1,8.8,54,19.89
3.7,8.8,54,19.89
2.9,8.8,53,19.89
2.9,8.8,53,19.89
3.1,8.8,53,19.89
3.1,8.8,48,19.89
2.9,8.8,48,19.89
4.0,8.8,51,19.89
3.1,8.8,51,19.89
2.7,8.8,49,19.89
3.1,8.8,49,19.89
3.3,8.8,49,19.89
2.9,8.8,47,19.89
3.5,8.8,47,19.89
3.3,8.8,47,19.89
3.1,8.8,47,19.89
2.9,8.8,47,19.89
3.1,8.8,46,19.89
2.7,8.8,46,19.89
3.3,8.8,45,19.89
2.9,8.8,45,19.89
2.9,8.8,45,19.89
2.9,8.8,45,19.89
2.9,8.8,45,19.89
2.7,8.8,45,19.89
3.5,8.8,45,19.89
2.7,8.8,43,19.89
2.9,8.8,43,19.89
3.1,8.8,43,19.89
3.1,8.8,43,19.89
3.1,8.8,43,19.89
3.1,8.8,46,19.89
3.3,8.8,46,19.89
3.1,8.8,47,19.89
3.3,8.8,47,19.89
2.7,8.8,47,19.89
2.9,8.8,46,19.89
3.3,8.8,46,19.89
2.7,8.8,46,19.89
3.1,8.8,46,19.89
2.9,8.8,46,19.89
3.1,8.8,46,19.89
2.7,8.8,46,19.89
3.3,8.8,45,19.89
2.9,8.8,45,19.89
3.1,8.8,45,19.89
3.3,8.8,45,19.89
3.1,8.8,45,19.89
2.9,8.8,46,19.89
3.5,8.8,46,19.89
2.9,8.8,47,19.89
3.3,8.8,47,19.89
4.3,8.8,47,19.89
2.9,8.8,52,19.89
2.9,8.8,52,19.89
3.1,8.8,46,19.89
2.7,8.8,46,19.89
2.9,8.8,46,19.89
3.3,8.8,49,19.89
3.3,8.8,49,19.89
3.1,8.8,52,19.89
3.7,8.8,52,19.89
2.9,8.8,51,19.89
2.9,8.8,51,19.89
3.5,8.8,51,19.89
2.9,8.8,52,19.89
3.1,8.8,52,19.89
3.3,8.8,57,19.89
2.9,8.8,57,19.89
2.7,8.8,57,19.89
2.9,8.8,51,19.89
3.1,8.8,51,19.89
2.7,8.8,51,19.89
3.1,8.8,51,19.89
2.9,8.8,51,19.89
3.1,8.8,51,19.89
3.7,8.8,51,19.89
2.9,8.8,50,19.89
2.9,8.8,50,19.89
3.1,8.8,50,19.89
3.3,8.8,50,19.89
