ave_cpu_allocate,ave_mem_allocate,ave_gpu_allocate,ave_gmem_allocate,idel_gpu_num,job_not_start_num,job_dealing_num,self.job_come_num,self.job_end_num
0.0,0.0,0.0,0.0,4,0,0,0,0
0.18,0.10103352864583333,0.5575,0.10274251302083333,0,0,4,4,0
0.33,0.16446940104166666,0.8775,0.1612209743923611,0,0,7,7,0
0.33,0.16446940104166666,0.8775,0.1612209743923611,0,0,7,7,0
0.39,0.18738810221354166,1.035,0.1820610894097222,0,0,8,8,0
0.39,0.18738810221354166,1.035,0.1820610894097222,0,0,8,8,0
0.39,0.18738810221354166,1.035,0.1820610894097222,0,0,8,8,0
0.39,0.18738810221354166,1.035,0.1820610894097222,0,0,8,8,0
0.39,0.18738810221354166,1.035,0.1820610894097222,0,0,8,8,0
0.43,0.2049526638454861,1.135,0.20070393880208334,0,0,9,9,0
0.43,0.2049526638454861,1.135,0.20070393880208334,0,0,9,9,0
0.46,0.22309705946180555,1.26,0.2219916449652778,0,0,10,10,0
0.46,0.22309705946180555,1.26,0.2219916449652778,0,0,10,10,0
0.46,0.22309705946180555,1.26,0.2219916449652778,0,0,10,10,0
0.82,0.3334757486979167,1.8125,0.3269517686631944,0,1,15,16,0
0.92,0.3522610134548611,1.8425,0.3455132378472222,0,5,16,21,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,7,17,24,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,7,17,24,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,7,17,24,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,8,17,25,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,8,17,25,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,8,17,25,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,8,17,25,0
1.0,0.3708699544270833,1.865,0.3642374674479167,0,8,17,25,0
0.97,0.3527255588107639,1.74,0.3429497612847222,0,8,16,25,1
0.97,0.3527255588107639,1.74,0.3429497612847222,0,8,16,25,1
1.0,0.3574795193142361,1.66,0.3319091796875,0,6,16,25,3
1.0,0.3574795193142361,1.66,0.3319091796875,0,7,16,26,3
0.97,0.3526848687065972,1.75,0.340087890625,0,6,16,26,4
0.97,0.3526848687065972,1.75,0.340087890625,0,6,16,26,4
0.97,0.3526848687065972,1.75,0.340087890625,0,6,16,26,4
