ave_cpu_allocate,ave_mem_allocate,ave_gpu_allocate,ave_gmem_allocate,idel_gpu_num,job_not_start_num,job_dealing_num,self.job_come_num,self.job_end_num
0.0,0.0,0.0,0.0,4,100,0,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
1.125,1.9921875,1.0,0.0,0,84,16,100,0
0.875,1.5234375,1.0,0.0,0,84,12,100,4
0.8125,1.40625,1.0,0.0,0,84,11,100,5
0.8125,1.40625,1.0,0.0,0,84,11,100,5
0.8125,1.40625,1.0,0.0,0,84,11,100,5
0.8125,1.40625,1.0,0.0,0,84,11,100,5
0.8125,1.40625,1.0,0.0,0,84,11,100,5
0.8125,1.40625,1.0,0.0,0,84,11,100,5
0.75,1.2890625,1.0,0.0,0,84,10,100,6
0.75,1.2890625,1.0,0.0,0,84,10,100,6
0.75,1.2890625,1.0,0.0,0,84,10,100,6
0.6875,1.171875,1.0,0.0,0,84,9,100,7
0.625,1.0546875,1.0,0.0,0,84,8,100,8
0.625,1.0546875,1.0,0.0,0,84,8,100,8
0.625,1.0546875,1.0,0.0,0,84,8,100,8
0.625,1.0546875,1.0,0.0,0,84,8,100,8
0.625,1.0546875,1.0,0.0,0,84,8,100,8
0.5625,0.9375,1.0,0.0,0,84,7,100,9
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.5,0.8203125,1.0,0.0,0,84,6,100,10
0.8125,1.2890625,1.0,0.0,0,80,9,100,11
0.75,1.171875,1.0,0.0,0,80,8,100,12
0.75,1.171875,1.0,0.0,0,80,8,100,12
0.75,1.171875,1.0,0.0,0,80,8,100,12
0.8125,1.40625,1.0,0.0,0,76,11,100,13
0.8125,1.40625,1.0,0.0,0,76,11,100,13
0.8125,1.40625,1.0,0.0,0,76,11,100,13
0.8125,1.40625,1.0,0.0,0,76,11,100,13
0.8125,1.40625,1.0,0.0,0,76,11,100,13
0.875,1.5234375,1.0,0.0,0,74,12,100,14
0.875,1.5234375,1.0,0.0,0,74,12,100,14
0.875,1.5234375,1.0,0.0,0,74,12,100,14
0.875,1.5234375,1.0,0.0,0,74,12,100,14
0.8125,1.40625,1.0,0.0,0,74,11,100,15
0.8125,1.40625,1.0,0.0,0,74,11,100,15
0.75,1.2890625,1.0,0.0,0,74,10,100,16
0.75,1.2890625,1.0,0.0,0,74,10,100,16
0.6875,1.171875,1.0,0.0,0,74,9,100,17
1.2291666666666667,1.7578125,1.0,0.0,0,70,12,100,18
1.2291666666666667,1.7578125,1.0,0.0,0,70,12,100,18
1.2291666666666667,1.7578125,1.0,0.0,0,70,12,100,18
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.1041666666666667,1.5234375,1.0,0.0,0,70,10,100,20
1.0416666666666667,1.40625,1.0,0.0,0,70,9,100,21
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
0.8541666666666666,1.171875,1.0,0.0,0,70,8,100,22
1.0416666666666667,1.5234375,1.0,0.0,0,66,11,100,23
1.0416666666666667,1.5234375,1.0,0.0,0,66,11,100,23
1.0416666666666667,1.5234375,1.0,0.0,0,66,11,100,23
1.0416666666666667,1.5234375,1.0,0.0,0,66,11,100,23
1.0416666666666667,1.5234375,1.0,0.0,0,66,11,100,23
1.0416666666666667,1.5234375,1.0,0.0,0,66,11,100,23
1.3333333333333333,1.915,1.0,0.0,0,62,14,100,24
1.3333333333333333,1.915,1.0,0.0,0,62,14,100,24
1.3333333333333333,1.915,1.0,0.0,0,62,14,100,24
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5833333333333333,2.149375,1.0,0.0,0,58,16,100,26
1.5208333333333333,2.0321875,1.0,0.0,0,58,15,100,27
1.5208333333333333,2.0321875,1.0,0.0,0,58,15,100,27
1.5208333333333333,2.0321875,1.0,0.0,0,58,15,100,27
1.5208333333333333,2.0321875,1.0,0.0,0,58,15,100,27
1.5208333333333333,2.0321875,1.0,0.0,0,58,15,100,27
1.5208333333333333,2.0321875,1.0,0.0,0,58,15,100,27
1.5208333333333333,2.0321875,1.0,0.0,0,58,15,100,27
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.4583333333333333,1.915,1.0,0.0,0,58,14,100,28
1.3958333333333333,1.7978125,1.0,0.0,0,58,13,100,29
1.3958333333333333,1.7978125,1.0,0.0,0,58,13,100,29
1.3958333333333333,1.7978125,1.0,0.0,0,58,13,100,29
1.3333333333333333,1.680625,1.0,0.0,0,58,12,100,30
1.3333333333333333,1.680625,1.0,0.0,0,58,12,100,30
1.3333333333333333,1.680625,1.0,0.0,0,58,12,100,30
1.3333333333333333,1.680625,1.0,0.0,0,58,12,100,30
1.1666666666666667,1.5634375,1.0,0.0,0,58,11,100,31
1.1666666666666667,1.5634375,1.0,0.0,0,58,11,100,31
1.0,1.44625,1.0,0.0,0,58,10,100,32
0.9375,1.3290625,1.0,0.0,0,58,9,100,33
0.875,1.211875,1.0,0.0,0,58,8,100,34
0.875,1.211875,1.0,0.0,0,58,8,100,34
0.875,1.211875,1.0,0.0,0,58,8,100,34
0.875,1.211875,1.0,0.0,0,58,8,100,34
0.875,1.211875,1.0,0.0,0,58,8,100,34
0.875,1.211875,1.0,0.0,0,58,8,100,34
0.6875,0.9775,1.0,0.0,0,58,7,100,35
0.8958333333333334,1.243203125,1.0,0.0,0,54,10,100,36
0.8958333333333334,1.243203125,1.0,0.0,0,54,10,100,36
0.8958333333333334,1.243203125,1.0,0.0,0,54,10,100,36
0.8958333333333334,1.243203125,1.0,0.0,0,54,10,100,36
0.8958333333333334,1.243203125,1.0,0.0,0,54,10,100,36
0.8958333333333334,1.243203125,1.0,0.0,0,54,10,100,36
0.8958333333333334,1.243203125,1.0,0.0,0,54,10,100,36
0.8541666666666666,1.203203125,1.0,0.0,0,54,9,100,37
0.8541666666666666,1.203203125,1.0,0.0,0,54,9,100,37
1.0416666666666667,1.554765625,1.0,0.0,0,50,12,100,38
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.1666666666666667,1.789140625,1.0,0.0,0,46,15,100,39
1.0833333333333333,1.7578125,1.0,0.0,0,46,14,100,40
1.0833333333333333,1.7578125,1.0,0.0,0,46,14,100,40
1.0833333333333333,1.7578125,1.0,0.0,0,46,14,100,40
1.0833333333333333,1.7578125,1.0,0.0,0,46,14,100,40
0.9583333333333334,1.5234375,1.0,0.0,0,46,12,100,42
0.9583333333333334,1.5234375,1.0,0.0,0,46,12,100,42
0.875,1.40625,1.0,0.0,0,46,11,100,43
0.875,1.40625,1.0,0.0,0,46,11,100,43
0.875,1.40625,1.0,0.0,0,46,11,100,43
0.875,1.40625,1.0,0.0,0,46,11,100,43
1.0625,1.7578125,1.0,0.0,0,42,14,100,44
1.0625,1.7578125,1.0,0.0,0,42,14,100,44
1.0625,1.7578125,1.0,0.0,0,42,14,100,44
1.0625,1.7578125,1.0,0.0,0,42,14,100,44
1.0,1.640625,1.0,0.0,0,42,13,100,45
1.0,1.640625,1.0,0.0,0,42,13,100,45
1.0,1.640625,1.0,0.0,0,42,13,100,45
1.0,1.640625,1.0,0.0,0,42,13,100,45
1.0,1.640625,1.0,0.0,0,42,13,100,45
1.0,1.640625,1.0,0.0,0,42,13,100,45
1.0,1.640625,1.0,0.0,0,42,13,100,45
1.0,1.640625,1.0,0.0,0,42,13,100,45
0.8125,1.40625,1.0,0.0,0,42,12,100,46
0.8125,1.40625,1.0,0.0,0,42,12,100,46
0.8125,1.40625,1.0,0.0,0,42,12,100,46
0.8125,1.40625,1.0,0.0,0,42,12,100,46
0.8125,1.40625,1.0,0.0,0,42,12,100,46
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.75,1.2890625,0.9375,0.0,0,42,11,100,47
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.6875,1.171875,0.9375,0.0,0,42,10,100,48
0.625,1.0546875,0.9375,0.0,0,42,9,100,49
0.625,1.0546875,0.9375,0.0,0,42,9,100,49
0.5625,0.9375,0.9375,0.0,0,42,8,100,50
0.5625,0.9375,0.9375,0.0,0,42,8,100,50
0.5625,0.9375,0.9375,0.0,0,42,8,100,50
