ave_cpu_allocate,ave_mem_allocate,ave_gpu_allocate,ave_gmem_allocate,idel_gpu_num,job_not_start_num,job_dealing_num,self.job_come_num,self.job_end_num
0.0,0.0,0.0,0.0,4,100,0,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.68,0.63660546875,2.9,0.6716466833043981,0,81,19,100,0
0.725,0.663810546875,2.9325,0.7300482855902777,0,73,21,100,6
0.785,0.678095703125,2.9625,0.7466295030381944,0,71,22,100,7
0.755,0.634080078125,2.7625,0.7007288049768519,0,71,21,100,8
0.755,0.634080078125,2.7625,0.7007288049768519,0,71,21,100,8
0.755,0.634080078125,2.7625,0.7007288049768519,0,71,21,100,8
0.815,0.684716796875,2.95,0.7575480143229166,0,68,22,100,10
0.815,0.684716796875,2.95,0.7575480143229166,0,68,22,100,10
0.915,0.673970703125,2.9625,0.7276746961805555,0,66,21,100,13
0.915,0.673970703125,2.9625,0.7276746961805555,0,66,20,100,14
0.825,0.615744140625,2.8175,0.6771963614004629,0,66,18,100,16
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.765,0.564302734375,2.67,0.6250452112268519,0,66,16,100,18
0.945,0.661462890625,2.8875,0.6982534903067129,0,60,19,100,21
0.945,0.679400390625,2.8775,0.7186663592303241,0,58,19,100,23
0.805,0.616298828125,2.7775,0.6689566153067129,0,58,18,100,24
0.805,0.616298828125,2.7775,0.6689566153067129,0,58,18,100,24
0.835,0.661029296875,2.875,0.703125,0,54,19,100,27
0.835,0.661029296875,2.875,0.703125,0,54,19,100,27
0.835,0.661029296875,2.875,0.703125,0,54,19,100,27
0.835,0.661029296875,2.875,0.703125,0,54,19,100,27
0.835,0.661029296875,2.875,0.703125,0,54,19,100,27
0.805,0.617009765625,2.6625,0.6444521303530092,0,54,18,100,28
0.775,0.590900390625,2.4875,0.6139684606481481,0,54,17,100,29
0.775,0.590900390625,2.4875,0.6139684606481481,0,54,17,100,29
0.805,0.661146484375,2.9125,0.7151285807291666,0,51,19,100,30
0.79,0.6411640625,2.7025,0.6629774305555555,0,51,18,100,31
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.7,0.6062890625,2.6175,0.6386424877025463,0,51,17,100,32
0.88,0.6786875,2.865,0.7136140046296295,0,47,20,100,33
0.88,0.6786875,2.865,0.7136140046296295,0,46,20,100,34
0.91,0.68641796875,2.9,0.7115003797743055,0,44,21,100,35
0.94,0.69415234375,2.905,0.7221589265046295,0,42,22,100,36
0.94,0.69415234375,2.905,0.7221589265046295,0,42,22,100,36
0.76,0.5969921875,2.6875,0.6489506474247685,0,42,19,100,39
0.82,0.64870703125,2.9075,0.7182820638020833,0,38,21,100,41
0.82,0.64870703125,2.9075,0.7182820638020833,0,38,21,100,41
0.82,0.64870703125,2.9075,0.7182820638020833,0,38,21,100,41
0.82,0.64870703125,2.9075,0.7182820638020833,0,38,21,100,41
0.73,0.570671875,2.6725,0.6396032262731481,0,38,18,100,44
0.73,0.570671875,2.6725,0.6396032262731481,0,38,18,100,44
0.73,0.570671875,2.6725,0.6396032262731481,0,38,18,100,44
0.73,0.570671875,2.6725,0.6396032262731481,0,38,18,100,44
0.73,0.570671875,2.6725,0.6396032262731481,0,38,18,100,44
0.73,0.570671875,2.6725,0.6396032262731481,0,38,18,100,44
0.78,0.6406484375,2.9025,0.6994176793981481,0,35,20,100,45
0.78,0.6406484375,2.9025,0.6994176793981481,0,35,20,100,45
0.78,0.6406484375,2.9025,0.6994176793981481,0,34,20,100,46
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.78,0.6406484375,2.9025,0.6994176793981481,0,33,20,100,47
0.69,0.62793359375,2.855,0.6950321903935185,0,31,20,100,49
0.66,0.60233203125,2.78,0.6689566153067129,0,31,19,100,50
0.66,0.60233203125,2.78,0.6689566153067129,0,31,19,100,50
0.72,0.63686328125,2.8625,0.706142849392361,0,28,21,100,51
0.69,0.61075390625,2.6875,0.6756591796875,0,28,20,100,52
0.66,0.58464453125,2.5125,0.6451755099826388,0,28,19,100,53
0.63,0.55863671875,2.44,0.6190999348958333,0,28,18,100,54
0.63,0.55863671875,2.44,0.6190999348958333,0,28,18,100,54
0.72,0.63690234375,2.8225,0.7097371419270833,0,24,21,100,55
0.72,0.63709765625,2.8525,0.6969649703414351,0,22,21,100,57
0.76,0.62553125,2.875,0.6787222403067129,0,21,21,100,58
0.87,0.68637890625,2.935,0.7308507848668981,0,18,23,100,59
0.87,0.68637890625,2.935,0.7308507848668981,0,18,23,100,59
0.87,0.68637890625,2.935,0.7308507848668981,0,18,23,100,59
0.87,0.68678515625,2.9325,0.7308507848668981,0,17,23,100,60
0.87,0.68678515625,2.9325,0.7308507848668981,0,17,23,100,60
0.87,0.68678515625,2.9325,0.7308507848668981,0,17,23,100,60
0.87,0.68678515625,2.9325,0.7308507848668981,0,17,23,100,60
0.87,0.68678515625,2.9325,0.7308507848668981,0,17,23,100,60
0.87,0.68678515625,2.9325,0.7308507848668981,0,17,23,100,60
0.84,0.6802109375,2.925,0.7454766167534722,0,15,23,100,62
0.84,0.699484375,2.92,0.7693594473379629,0,13,24,100,63
0.84,0.699484375,2.92,0.7693594473379629,0,13,24,100,63
0.84,0.717421875,2.91,0.7897723162615741,0,12,24,100,64
0.9,0.72482421875,2.9075,0.7905748155381944,0,9,25,100,66
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
0.87,0.69881640625,2.835,0.7644992404513888,0,9,24,100,67
1.0,0.7373984375,2.82,0.7836348922164351,0,7,25,100,68
1.0,0.7373984375,2.82,0.7836348922164351,0,7,25,100,68
1.0,0.7373984375,2.82,0.7836348922164351,0,7,25,100,68
1.0,0.7373984375,2.82,0.7836348922164351,0,7,25,100,68
0.94,0.68528125,2.5725,0.7270756474247685,0,7,23,100,70
0.94,0.68528125,2.5725,0.7270756474247685,0,7,23,100,70
0.94,0.68528125,2.5725,0.7270756474247685,0,7,23,100,70
0.94,0.68528125,2.5725,0.7270756474247685,0,7,23,100,70
0.94,0.70308203125,2.71,0.7594468858506944,0,5,23,100,72
0.94,0.70308203125,2.71,0.7594468858506944,0,5,23,100,72
0.94,0.70308203125,2.71,0.7594468858506944,0,5,23,100,72
0.94,0.70308203125,2.71,0.7594468858506944,0,5,23,100,72
0.91,0.677,2.4875,0.7211868851273148,0,5,22,100,73
0.865,0.663103515625,2.8225,0.7617413556134259,0,4,21,100,75
0.805,0.593490234375,2.495,0.6897650824652777,0,4,19,100,77
0.775,0.567650390625,2.435,0.6636895073784722,0,4,18,100,78
0.72,0.5737578125,2.69,0.7421422887731481,0,3,18,100,79
0.72,0.5737578125,2.69,0.7421422887731481,0,3,18,100,79
0.705,0.586490234375,2.895,0.8089983904803241,0,2,18,100,80
0.705,0.586490234375,2.895,0.8089983904803241,0,2,18,100,80
0.705,0.586490234375,2.895,0.8089983904803241,0,2,18,100,80
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.675,0.560482421875,2.895,0.7829228153935185,0,2,17,100,81
0.615,0.490822265625,2.61,0.6981743706597222,0,2,15,100,83
0.555,0.439142578125,2.465,0.646023220486111,0,2,13,100,85
0.555,0.439142578125,2.465,0.646023220486111,0,2,13,100,85
0.555,0.439142578125,2.465,0.646023220486111,0,2,12,100,86
0.54,0.433453125,2.7125,0.6802820276331019,0,1,12,100,87
0.51,0.4078125,2.64,0.6542064525462963,0,1,11,100,88
0.435,0.413974609375,2.99,0.741543240017361,0,0,11,100,89
0.435,0.413974609375,2.99,0.741543240017361,0,0,11,100,89
0.405,0.388373046875,2.9425,0.7154676649305555,0,0,10,100,90
0.405,0.388373046875,2.9425,0.7154676649305555,0,0,10,100,90
0.405,0.388373046875,2.9425,0.7154676649305555,0,0,10,100,90
0.405,0.388373046875,2.9425,0.7154676649305555,0,0,10,100,90
0.39,0.35004296875,2.55,0.6225359881365741,0,0,9,100,91
0.39,0.35004296875,2.55,0.6225359881365741,0,0,9,100,91
0.39,0.35004296875,2.55,0.6225359881365741,0,0,9,100,91
0.28,0.28868359375,2.4,0.5659993489583333,0,0,8,100,92
0.28,0.28868359375,2.4,0.5659993489583333,0,0,8,100,92
0.28,0.28868359375,2.4,0.5659993489583333,0,0,8,100,92
0.28,0.28868359375,2.4,0.5659993489583333,0,0,8,100,92
0.28,0.28868359375,2.4,0.5659993489583333,0,0,8,100,92
0.19,0.25628515625,2.2875,0.5344532154224537,0,0,7,100,93
0.19,0.25628515625,2.2875,0.5344532154224537,0,0,7,100,93
0.175,0.217724609375,1.8625,0.41557029441550924,0,0,6,100,94
0.175,0.217724609375,1.8625,0.41557029441550924,0,0,6,100,94
0.16,0.17939453125,1.3675,0.32263861762152773,0,0,5,100,95
0.16,0.17939453125,1.3675,0.32263861762152773,0,0,5,100,95
0.09,0.14712890625,1.2725,0.29678909866898145,1,0,4,100,96
0.09,0.14712890625,1.2725,0.29678909866898145,1,0,4,100,96
0.09,0.14712890625,1.2725,0.29678909866898145,1,0,4,100,96
0.09,0.14712890625,1.2725,0.29678909866898145,1,0,4,100,96
0.06,0.103109375,1.06,0.23811622902199073,1,0,3,100,97
0.06,0.103109375,1.06,0.23811622902199073,1,0,3,100,97
0.06,0.103109375,1.06,0.23811622902199073,1,0,3,100,97
0.06,0.103109375,1.06,0.23811622902199073,1,0,3,100,97
0.06,0.103109375,1.06,0.23811622902199073,1,0,3,100,97
0.06,0.103109375,1.06,0.23811622902199073,1,0,3,100,97
0.03,0.076890625,0.985,0.2118145978009259,1,0,2,100,98
